# ra,dec,radius
269.10132,-29.63511,2.0
266.44559,-27.51192,2.0
272.81421,-30.63056,2.0
274.44318,-29.10209,2.0
214.09149,13.87337,2.0
274.65977,-28.13293,2.0
278.92633,-29.63974,2.0
265.40247,-22.21735,2.0
266.95443,-21.53947,2.0
271.035,-20.9515,2.0
277.08859,-23.42376,2.0
280.08304,-22.90814,2.0
270.03674,-17.6787,2.0
288.5465,-23.69,2.0
299.5545,-26.47108,2.0
282.12668,-17.73188,2.0
282.55493,-17.03932,2.0
277.56427,-11.61595,2.0
285.14511,-2.19934,2.0
285.27396,8.42667,2.0
282.9231,9.91455,2.0
289.46066,8.25232,2.0
287.89929,13.51988,2.0
291.61693,13.32424,2.0
288.32965,15.66104,2.0
289.82816,17.19669,2.0
300.42504,19.91114,2.0
296.246,22.7633,2.0
301.24432,25.44371,2.0
300.22052,34.47283,2.0
304.31442,38.83996,2.0
303.84253,40.5791,2.0
351.56175,58.18181,2.0
351.04364,60.95854,2.0
15.22542,55.06667,2.0
57.27453,50.00412,2.0
84.48442,55.53764,2.0
130.39819,58.23012,2.0
126.77313,31.50236,2.0
89.85363,10.69456,2.0
104.98722,14.60925,2.0
109.741,7.37311,2.0
95.90479,-10.22331,2.0
109.35779,-10.17604,2.0
103.58667,-25.40933,2.0
148.18554,-46.27986,2.0
184.13013,-66.7625,2.0
188.64987,-64.30472,2.0
210.31438,-50.66942,2.0
234.929,-52.6095,2.0
242.33392,-55.60273,2.0
249.4279,-55.70736,2.0
244.30579,-51.98633,2.0
257.39966,-52.21721,2.0
255.36875,-43.09986,2.0
264.82144,-35.78302,2.0
275.03815,-36.12252,2.0
261.85147,-29.35389,2.0
264.76196,-28.94308,2.0
273.885,-32.6335,2.0
267.75171,-29.56416,2.0
263.469,-26.9242,2.0
270.85753,-30.77365,2.0
263.364,-26.8001,2.0
269.85496,-30.12172,2.0
278.931,-33.4122,2.0
259.0872,-23.23241,2.0
269.76172,-29.25027,2.0
264.37623,-26.3622,2.0
271.66278,-29.98133,2.0
268.5783,-27.61,2.0
266.47879,-26.44531,2.0
276.09062,-31.11933,2.0
273.61135,-29.86306,2.0
264.34979,-25.02562,2.0
263.40751,-24.1295,2.0
270.385,-27.76861,2.0
275.148,-29.8135,2.0
269.85796,-27.10517,2.0
264.71537,-24.32892,2.0
266.41656,-25.23488,2.0
267.06454,-25.2539,2.0
264.36838,-23.69194,2.0
267.17378,-25.19284,2.0
271.26333,-27.20916,2.0
275.06991,-29.01263,2.0
268.03581,-25.46331,2.0
267.13443,-24.45279,2.0
266.90853,-24.24068,2.0
262.96575,-21.82181,2.0
267.08941,-24.03735,2.0
267.31144,-23.94497,2.0
277.79667,-28.8203,2.0
279.39589,-29.37834,2.0
266.87797,-23.19695,2.0
271.70503,-25.61255,2.0
271.36713,-25.34055,2.0
270.35503,-24.61945,2.0
267.58619,-22.80669,2.0
267.6099,-22.81436,2.0
278.20983,-27.99039,2.0
278.83745,-28.1978,2.0
268.68668,-23.15196,2.0
266.55586,-21.84699,2.0
267.25992,-21.46847,2.0
277.61797,-26.62167,2.0
274.99523,-25.03924,2.0
275.02634,-24.68998,2.0
275.54346,-24.83163,2.0
269.64104,-21.58747,2.0
264.56478,-18.1406,2.0
262.30533,-16.79544,2.0
269.56477,-20.52698,2.0
274.74502,-22.66081,2.0
274.03804,-21.87033,2.0
275.53525,-22.38549,2.0
272.92183,-21.04125,2.0
275.14874,-20.50694,2.0
271.79854,-18.46494,2.0
269.41508,-16.82214,2.0
274.84296,-19.26947,2.0
270.97953,-16.95622,2.0
267.4154,-14.48826,2.0
273.83817,-16.04888,2.0
269.93863,-13.83736,2.0
270.44368,-14.03863,2.0
274.74666,-15.43919,2.0
275.43294,-13.88693,2.0
281.18212,-14.18113,2.0
275.06492,-10.71342,2.0
275.42125,-10.03056,2.0
284.58033,-14.50719,2.0
274.61168,-9.03998,2.0
274.77776,-9.03063,2.0
276.61792,-8.98888,2.0
284.29083,-10.91417,2.0
277.82,-7.25619,2.0
282.0329,-9.05216,2.0
276.81833,-6.19748,2.0
278.49874,-5.93529,2.0
288.27287,-10.35281,2.0
285.47871,-8.92228,2.0
279.50892,-4.29003,2.0
275.94808,-2.24203,2.0
278.40968,-3.43218,2.0
281.86879,-5.12333,2.0
282.31292,-3.78283,2.0
98.28992,-1.58622,2.0
102.17942,-7.32806,2.0
103.08088,-9.86,2.0
114.09607,-5.00563,2.0
101.60578,-12.59887,2.0
103.08225,-12.67814,2.0
108.62,-10.86217,2.0
106.40499,-12.41442,2.0
111.43288,-13.78444,2.0
110.56204,-14.58028,2.0
111.34835,-14.95281,2.0
114.96061,-14.30715,2.0
106.09585,-22.36446,2.0
111.05456,-20.36359,2.0
103.99973,-23.94697,2.0
113.84708,-21.37838,2.0
115.09733,-20.93125,2.0
106.43975,-25.48039,2.0
105.21579,-26.12183,2.0
108.75948,-28.09548,2.0
124.2221,-24.18221,2.0
120.97605,-27.10057,2.0
118.98549,-33.76692,2.0
124.0867,-31.84984,2.0
122.1288,-35.0778,2.0
122.10146,-37.75736,2.0
123.98683,-40.88547,2.0
130.12455,-38.02389,2.0
136.00971,-40.3875,2.0
137.94013,-40.86625,2.0
