recno,Object,RA_ICRS,DE_ICRS,d,e_d,E_d,DeltaT,Av,e_Av,Teff,e_Teff,SpType,R,e_R,LogL,e_LogL,E_LogL,l_t,t,e_t,E_t,l_M,M,e_M,E_M,Notes,SimbadName,_RA_icrs,_DE_icrs,objID,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist
1,HBC 1,1.760833333333333,65.64388888888888,5043.53,1565.26,2276.09," 8000- 8500",5.5,0.0,8000,125,A5-A6,13.24,5.15,2.81,0.65,0.25,,0.2,0.1,0.83,,6.42,2.63,1.57,1,HBC 1,1.760833333333333,65.64388888888888,186770017609623472,1.76083448,65.6439272,0.096,0.038,90.0,512024576,61,56013.79359954,5,63,17.8821,1.0E-4,17.6929,1.0E-4,16892216,16.2227,0.0874,16.1592,0.0158,16892216,15.2184,0.0444,15.192,0.0305,16892216,14.6121,0.0294,14.3009,0.0777,16892216,13.7582,0.0804,13.7503,0.0738,16892216,0.137931
2,MQ Cas,2.4066666666666663,58.21972222222222,745.96,42.26,47.66," 9500-10750",3.0,0.0,10250,125,"B9   ",2.51,0.16,1.8,0.06,0.05,,3.57,0.34,0.37,,2.58,0.0,0.26,1,MQ Cas,2.4066666666666663,58.21972222222222,177860024065884582,2.4065687,58.21967692,0.065,0.011,0.0,302309376,36,55941.95469907,0,30,13.3404,0.001,13.3735,0.001,16777496,12.9589,0.004,12.9784,0.0154,1048,12.3458,0.3536,13.0623,0.042,24,13.258,0.0087,13.3344,0.0176,280,11.8625,0.001,11.7738,0.001,16777752,0.247181
3,VX Cas,7.877916666666666,61.98083333333332,524.76,5.47,5.58," 9750-10250",1.5,0.11,10000,125,"B9   ",1.68,0.1,1.4,0.05,0.05,<,7.99,,,,2.18,0.0,0.02,,VX Cas,7.877916666666666,61.98083333333332,182370078774787686,7.87787899,61.98081917,0.098,0.082,90.0,1141170176,136,55696.86024306,4,59,12.0278,0.0019,12.5884,0.002,20600,11.3141,0.0015,13.0802,0.2071,65656,13.42,,,,65636,12.406,,,,114788,11.887,,,,114788,0.081607
4,V594 Cas,10.826249999999998,61.911111111111104,551.16,4.13,4.2,11250-11750,2.5,0.21,11750,215,B7-B8,3.74,0.37,2.38,0.09,0.07,,1.67,0.46,0.31,,3.6,0.21,0.2,,V594 Cas,10.826249999999998,61.911111111111104,182290108260474049,10.826054,61.911179,0.048,0.048,90.0,335618048,40,51448.43679398,0,50,11.4478,0.1492,12.2961,0.1897,88,10.2386,0.0453,12.8462,0.0211,88,12.6,,,,68,11.145,,,,68,10.428,,,,68,0.412438
5,HBC 7,10.855416666666665,61.63972222222221,2512.43,79.51,84.88,16000-25000,4.5,0.0,19000,500,B2-B3,6.81,0.48,3.74,0.04,0.04,,0.15,0.03,0.03,,8.79,0.57,0.21,,HBC 7,10.855416666666665,61.63972222222221,181960108555888482,10.85559944,61.63980302,0.081,0.045,0.0,503635968,60,55806.09957176,5,65,14.1926,0.0036,14.2363,0.0082,115000,13.1588,0.0187,13.1905,0.0026,115000,12.843,,,,114724,12.267,,,,114724,11.9657,0.0011,11.9732,0.0011,16892216,0.42696
7,HD 9672,23.657916666666665,-15.676388888888887,57.12,0.18,0.18," 8750- 9250",0.0,0.0,9000,125,A1-A2,1.64,0.06,1.2,0.02,0.02,,11.02,1.15,8.96,,1.93,0.03,0.02,,HD 9672,23.657916666666665,-15.676388888888887,89180236576878476,23.6576991,-15.67646905,0.001,0.001,90.0,1343750144,160,56261.98519676,2,8,,,,,64,,,,,64,6.9116,0.0814,11.2922,0.0767,114808,6.8141,0.001,10.3575,0.001,88,5.6247,0.0693,8.546,0.1961,114808,0.807437
9,BD+30 549,52.332499999999996,31.415833333333328,284.64,1.9,1.93,10750-13000,2.0,0.2,10750,201,"B8   ",1.76,0.23,1.57,0.12,0.1,<,6.51,,,,2.4,0.0,0.14,,BD+30 549,52.332499999999996,31.415833333333328,145690523323509605,52.33243785,31.41580639,0.001,0.001,90.0,1409359872,168,51508.34929398,3,32,11.008,,,,68,10.413,,,,68,10.112,,,,114788,9.923,,,,68,9.85,,,,114788,0.214165
10,PDS 4,54.75249999999999,29.696111111111108,389.04,3.45,3.51," 9500-10750",1.0,0.0,9500,125,B9-A0,1.62,0.05,1.28,0.01,0.01,,9.98,0.0,0.53,,2.05,0.05,0.03,,PDS 4,54.75249999999999,29.696111111111108,143630547522975748,54.75240098,29.69601709,0.358,0.049,90.0,1141170176,136,55397.20204861,5,44,13.095,,,,65636,11.899,,,,65636,11.357,,,,65636,11.024,,,,65636,10.821,,,,114788,0.458751
11,IP Per,55.195833333333326,32.53166666666666,287.26,2.48,2.53," 7500- 8500",0.5,0.0,7500,125,A7-A9,1.57,0.06,0.85,0.02,0.02,,18.06,6.88,1.94,,1.61,0.01,0.06,,IP Per,55.195833333333326,32.53166666666666,147030551956778412,55.19570134,32.53154737,0.001,0.001,90.0,1409441792,168,52869.38327546,4,50,10.3401,0.1324,12.597,0.0458,114808,10.5674,0.0194,11.9186,0.0321,114808,13.135,,,,114788,11.821,,,,68,11.225,,,,114788,0.587314
12,XY Per A,57.40124999999999,38.98194444444444,419.21,5.24,5.38," 9500-10000",2.0,0.25,10000,244,"B9   ",4.8,0.63,2.32,0.12,0.09,,1.25,0.25,0.69,,3.71,0.34,0.3,,V* XY Per A,57.40124999999999,38.98194444444444,154770574015698872,57.4014471,38.9820653,0.001,0.001,90.0,268959744,32,51981.27295139,0,7,9.0351,0.001,12.5329,0.001,80,10.2423,0.0175,13.132,0.0194,88,9.0096,0.1703,13.1986,0.0109,80,,,,,64,,,,,64,0.702514
