recno,uid,R,GCVS,RAJ2000,DEJ2000,pmRA,e_pmRA,pmDE,e_pmDE,Epoch,GLON,GLAT,VarType,Per,OutDate,Cl,l_Maxmag,Maxmag,n_Maxmag,l_Minmag,Minmag,u_Minmag,n_Minmag,ref(Coo),f_ref(Coo),ref(pm),ref(CV),f_ref(CV),ref(CV)2,f_ref(CV)2,ref(Cha),u_ref(Cha),n_ref(Cha),ref(Sp),n_ref(Sp),u_ref(Sp),f_ref(Sp),ref(Per),f_ref(Per),Names,IUE,HST,ARIEL5,HEAO1,HEAO2,EXOSAT,ROSAT,GINGA,ASCA,EUVE,objID,RAJ2000_x,DEJ2000_x,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch_x,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist
212,7049,*,Cet2,42.82379166666666,5.629916666666666,0.024,0.006,-0.022,0.002,2000.0,169,-46,CV,,,,,16.2,B,,17.6,,V,2003-115,,2003-115,1986-06,*,,,1986-06,,,1995-07,S,,,,,PG 0248+054,,,,,,,,,,,114750428238066205,42.82384898,5.62975448,0.005,0.004,90.0,503635968,60,56255.46180556,5,88,16.154,0.0054,16.2006,0.0027,115000,16.4214,0.0037,16.4897,0.0029,115000,16.6886,0.0024,16.7509,0.0026,115000,16.907,0.0034,16.9754,0.0068,115000,17.0453,0.0114,17.1228,0.0127,115000,0.618925
200,7048,*,Cet1,40.72270833333333,6.795999999999999,,,,,,165,-47,CV,,,,,16.4,B,,,,,ICRS,,,1986-06,*,,,1986-06,,,1999-09,S,,,,,PG 0240+066,,,,,,,,,,,116150407225285643,40.72256657,6.79598282,0.006,0.004,0.0,436527104,52,56276.79314815,10,75,16.431,0.005,16.4756,0.0018,115000,16.6687,0.0042,16.7452,0.0038,115000,16.9224,0.0037,16.9956,0.0048,115000,17.1337,0.0031,17.2077,0.0049,115000,17.2438,0.005,17.3105,0.0185,115000,0.510522
207,6887,,WX Ari,41.90091666666666,10.593805555555553,0.0084,0.0058,-0.0165,0.006,2000.0,164,-43,UX,0.139351,,,,15.3,V,,15.8,,V,2004-105,,2004-105,1995-41,,,,1982-06,,,1992-15,S,,,2000-105,,PG 0244+104,U,,,,,,R,,,,120710419009383023,41.90094686,10.59375308,0.007,0.004,90.0,503636096,60,56078.97165509,5,56,15.3997,0.0814,15.4192,0.0662,115000,15.0702,0.0446,15.1083,0.0402,115000,17.7443,0.121,17.8028,0.1535,115000,15.2034,0.0259,15.339,0.0261,115000,15.0817,0.0324,15.1425,0.0474,115000,0.217033
232,6885,*,SV Ari,51.26391666666666,19.831361111111107,,,,,,165,-30,N:,,1905.85,,,12.0,p,,22.1,,B,2000-28,,,1987-08,,,,2000-28,:,*,,,,,,,116.1905,,,,,,,,,,,131790512638988293,51.2639239,19.83142418,0.019,0.017,0.0,436527232,52,56055.4056713,5,50,21.0906,0.0464,21.041,0.0714,115000,21.2428,0.0816,21.1877,0.0944,115000,21.2638,0.078,21.2555,0.0851,115000,20.9637,0.1141,20.8665,0.2597,115000,19.8234,0.1225,19.9329,0.1928,115000,0.228366
247,7820,*,V701 Tau,56.00791666666666,21.952333333333332,,,,,,168,-26,UGSU,,,,,14.1,V,<,21.0,,V,1995-47,,,1995-47,,,,1995-47,,,,,,,,*,SVS 1972,,,,,,,,,,,134340560082282926,56.0082325,21.95196728,0.015,0.009,90.0,436527232,52,55692.13365741,5,51,21.3246,0.0326,21.3657,0.1547,115000,20.7269,0.0562,20.8535,0.0667,115000,20.7278,0.0989,20.8554,0.1448,115000,20.4801,0.0921,20.4469,0.0783,115000,19.797,0.103,,,115000,1.687803
246,8276,,V1209 Tau,55.807666666666655,24.08594444444444,,,,,,166,-24,NL,,,,,16.2,p,,17.3,,p,ICRS,,,T00000,,,,1999-98,,,,,,,,,NSV 15743,,,,,,,,,,,136900558077113722,55.80768972,24.0859504,0.004,0.002,90.0,503636192,60,56261.42296296,5,53,16.2882,0.0423,16.4807,0.0537,115000,16.2903,0.0212,16.3364,0.0339,115000,15.931,0.0125,15.9823,0.0104,115000,15.9157,0.0387,15.8917,0.0414,115000,15.7817,0.0343,15.9719,0.0097,115000,0.078741
251,7826,*,V1212 Tau,57.98737499999999,25.424388888888885,,,,,,167,-22,UGSU,,,,,15.3,p,,21.5,,p,ICRS,,,1999-43,,,,1999-43,,*,,,,,,,NSV 15820,,,,,,,,,,,138500579875129871,57.98746237,25.42441752,0.013,0.006,90.0,436527232,52,56021.88212963,5,28,21.9095,0.0418,22.0344,0.1224,115000,21.5053,0.0722,21.4307,0.1682,115000,21.4532,0.0525,21.1273,0.1533,115000,17.0168,0.0237,17.0905,0.025,115000,16.2572,0.0012,16.3567,0.0012,115000,0.302192
248,7818,,OV Tau,56.52612499999999,29.68744444444444,0.0076,0.0067,-0.0032,0.0066,2000.0,162,-19,NL,,,,,15.5,p,,16.5,,p,2004-105,,2004-105,1989-16,,,,1982-03,,,1994-07,S,,,,,S 10158,,,,,,,,,,,143620565261295465,56.52612804,29.68740423,0.004,0.002,90.0,503636096,60,56085.48597222,10,54,15.9747,0.1559,16.0393,0.1343,115000,14.8274,0.0584,14.8757,0.088,115000,14.3223,0.0077,14.4107,0.0043,115000,14.016,0.0043,14.0341,0.0022,115000,13.6256,0.0258,13.6588,0.027,115000,0.145084
170,6886,*,TT Ari,31.72120833333333,15.294944444444443,-0.0065,0.0014,-0.0295,0.0013,2000.0,149,-43,VY/DQ:,0.13755,,,,9.5,v,,14.5,,v,2000-110,*,2000-110,1995-32,/,1994-46,,1983-12,,*,1983-12,S,,,2002-132,,BD +14 341,U,H,,1,2,E,R,,A,X,126350317210194251,31.7211197,15.29485881,0.061,0.011,90.0,604299264,72,55375.1587037,4,46,11.345,,,,114788,11.39,,,,114788,11.503,,,,65636,11.623,,,,16484,11.675,,,,114788,0.435622
217,6888,*,XY Ari,44.03374999999999,19.442777777777774,,,,,,159,-34,DQ,0.252697,,,,13.5,j,,17.6,,j,1992-33,*,,1992-33,,,,,,,,,,,1996-56,,H 0253+193,,,,,2,,,,A,,131330440341291897,44.03413159,19.44278875,0.021,0.018,90.0,503636096,60,55908.91180556,3,27,27.697,,,,16420,23.753,,,,16420,21.2853,0.0721,21.2421,0.1665,115000,20.0597,0.0467,20.0275,0.0625,115000,18.9156,0.0447,19.0486,0.0511,115000,1.295989
