recno,Astrom,PNG,OName,GaiaEDR3,Group,RA_ICRS,DE_ICRS,Dang,Gmag,BP-RP,AV,(BP-RP)0,_RA_icrs,_DE_icrs,objID,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag_x,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist
1,,"PN G000.0-01.0 ",JaSt69,4057224264723323264,B,267.5416,-29.3183,0.4,19.65,3.17,3.22,1.86,267.5416,-29.3183,72812675415988445,267.54157334,-29.31826675,0.012,0.006,90.0,444915712,53,56273.28792824,1,18,,,,,16416,20.3442,0.0077,19.4247,0.0266,16892216,19.1298,0.0157,18.8355,0.0342,16793904,17.8616,0.0263,17.725,0.0764,16793904,17.3288,0.0243,16.9929,0.0287,16777488,0.146781
2,,"PN G000.0-02.5 ",K6-36,4056266379788466304,B,268.9702,-30.2613,0.83,19.45,1.91,2.62,0.72,268.9702,-30.2613,71682689701226877,268.97014009,-30.26126446,0.011,0.009,90.0,436527104,52,55593.41578704,4,16,20.7356,0.1024,20.33,0.1756,16892208,19.0535,0.0231,17.3922,0.0151,16892208,18.596,0.0053,18.6606,0.0366,115000,18.0578,0.0025,18.105,0.0381,280,17.8316,0.0385,17.9931,0.0405,114992,0.224241
3,,"PN G000.0-02.9 ",MPAJ1757-3021,4056203849243193728,B,269.3093,-30.3645,2.52,18.42,1.85,3.57,0.11,269.3093,-30.3645,71562693092852904,269.30932394,-30.36450335,0.065,0.056,0.0,436527104,52,55475.08070602,4,7,,,,,16416,18.5318,0.0462,18.8058,0.0227,115000,17.8476,4.0E-4,,,115000,,,,,0,17.1756,0.0307,,,16688,0.075307
5,,"PN G000.1+02.6 ",Al2-J,4061303281130808448,B,263.8977,-27.4015,0.58,17.94,2.41,3.31,0.99,263.8977,-27.4015,75112638976788546,263.89767383,-27.40148643,0.027,0.005,0.0,444915712,53,56129.19886574,4,67,19.5238,0.0326,17.9434,0.0252,16892216,18.1733,0.0142,17.5008,0.1083,16892216,17.2259,0.0037,17.0465,0.0086,16777488,16.5578,0.0045,16.2956,0.0454,16892216,16.0295,0.0096,15.2779,0.1034,16892216,0.098162
6,,"PN G000.1+04.3 ",H1-16,4109679250049965312,A,262.3473,-26.4346,0.22,18.75,1.29,3.63,-0.57,262.3473,-26.4346,76272623473868661,262.34739771,-26.43470976,0.01,0.005,0.0,444915712,53,55861.40568287,6,66,16.1955,0.0301,15.8506,0.0041,16892216,15.914,0.0522,15.4857,5.0E-4,16892216,16.2474,0.0719,15.7305,7.0E-4,16892216,15.482,0.0181,15.0969,0.0075,16892216,14.1752,0.0223,13.785,0.0022,16892216,0.502982
7,,"PN G000.1+17.2 ",PC12,4130784921205604736,B,250.9741,-18.9533,0.08,15.17,0.62,1.13,0.03,250.9741,-18.9533,85252509740886397,250.97408612,-18.95332942,0.011,0.002,90.0,512024576,61,56045.77790509,5,72,14.2562,0.007,14.1226,0.0033,16892216,13.7707,0.0052,13.4778,0.0093,16892216,14.5091,0.0074,14.3556,6.0E-4,16892216,14.5703,0.0076,14.3155,0.0081,16892216,14.0055,0.0362,13.77,0.0874,16892216,0.114414
8,,"PN G000.1-01.9 ",JaSt93,4056400558791818624,B,268.3492,-29.83,0.8,17.64,2.33,2.32,1.37,268.3492,-29.83,72202683491824267,268.34923126,-29.8300134,0.006,0.004,0.0,444915712,53,55925.54956019,3,39,19.604,0.0121,18.7015,0.0199,16892216,17.9556,0.0235,17.6164,0.0344,16892216,17.0723,0.0099,17.1001,0.0,115000,16.3907,0.0696,16.4871,0.0708,280,16.119,0.0049,16.2768,0.0369,272,0.109016
11,,"PN G000.2-01.9 ",M2-19,4056495151130724224,B,268.4402,-29.7297,0.72,16.88,1.34,2.53,0.07,268.4402,-29.7297,72322684401524620,268.44020066,-29.72970092,0.008,0.008,90.0,444915712,53,56111.76605324,3,35,17.0626,0.0088,16.0384,0.0019,16892216,16.4091,0.0257,15.68,0.0,16892216,16.4156,7.0E-4,15.7621,0.0087,16892216,16.1277,0.0284,15.1429,0.0058,16777496,16.0199,0.0,,,16777488,0.003636
12,,PN G000.2-01.9a,JaSt2-14,4056495971440817408,B,268.4195,-29.7107,2.07,16.67,1.47,2.58,0.2,268.4195,-29.7107,72342684195187505,268.41954207,-29.71065093,0.013,0.006,90.0,436527104,52,56072.76881944,3,43,17.5774,0.0015,17.6021,0.0208,16892216,16.7444,0.0101,16.8206,0.0,16892216,16.4393,0.0179,16.5243,0.0496,114992,16.1602,0.0498,16.2197,0.0201,16777496,16.2026,0.0153,16.4565,0.0399,16777488,0.217605
14,,"PN G000.3+04.5 ",PHRJ1729-2614,4109701927482024320,B,262.2806,-26.2455,1.31,20.69,2.13,3.44,0.56,262.2806,-26.2455,76502622806505744,262.28054984,-26.24545862,0.018,0.011,90.0,444915712,53,55899.32744213,5,52,,,,,114720,20.4955,0.0052,19.7211,0.0831,16892216,19.5359,0.0517,19.1519,0.0273,16892216,19.0458,0.0524,18.3911,0.1237,16892216,18.5675,0.0685,18.119,0.0914,115000,0.221432
