recno,SNR,RAJ2000,DEJ2000,MajDiam,MinDiam,u_MinDiam,type,l_S(1GHz),S(1GHz),u_S(1GHz),Sp-Index,u_Sp-Index,Names,objID,RAJ2000_x,DEJ2000_x,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist
5,G001.4-00.1,267.41249999999997,-27.766666666666662,10.0,,,"S ",,2.0,?,,"? ",,74682674125010217,267.4125029,-27.76675019,0.017,0.007,90.0,436527104,52,55914.70862269,5,55,21.7404,0.1427,21.6057,0.2538,115000,20.1328,0.0231,20.3481,0.0135,115000,19.233,0.0188,19.3991,0.0189,115000,18.8017,0.0215,19.0868,0.0486,115000,18.2797,0.179,18.5856,0.0962,115000,0.300826
7,G003.7-00.2,268.8583333333333,-25.83333333333333,14.0,11.0,,"S ",,2.3,,0.65,,,77002688582850381,268.85831848,-25.83327569,0.02,0.015,90.0,436527104,52,56093.93798611,3,28,,,,,16416,,,,,16416,20.8746,0.1077,,,115000,19.4197,0.0295,19.6575,0.023,115000,18.5601,0.0388,18.7614,0.0951,115000,0.213024
8,G003.8+00.3,268.22916666666663,-25.46666666666666,18.0,,,S?,,3.0,?,0.6,,,77442682288100292,268.22881029,-25.46667836,0.01,0.01,90.0,436527104,52,55988.15679398,3,17,,,,,16416,,,,,16416,20.5228,0.0905,21.0381,0.1509,115000,18.7506,0.0082,17.7673,0.0246,16892216,17.7603,0.0291,17.3113,0.2444,16892216,1.159063
9,G004.2-03.5,272.22916666666663,-27.049999999999997,28.0,,,"S ",,3.2,?,0.6,"? ",,75542722289190153,272.2289073,-27.05014672,0.02,0.019,0.0,438624256,52,56079.10969907,1,26,21.5841,0.1023,,,16696,20.0361,0.0332,,,114992,19.4127,0.0254,19.2624,0.0386,16777488,19.2059,0.0388,,,16688,19.1687,0.1095,,,16696,0.985146
10,G004.5+06.8,262.67499999999995,-21.48333333333333,3.0,,,"S ",,19.0,,0.64,,"Kepler, SN1604, 3C358",82222626746030367,262.6745917,-21.48332656,0.042,0.042,90.0,436363264,52,55506.82355324,1,6,,,,,16416,,,,,16416,20.8893,0.0108,,,115000,20.3438,0.0966,20.389,0.16,16696,,,,,16416,1.367976
15,G005.9+03.1,266.8333333333333,-22.266666666666662,20.0,,,"S ",,3.3,?,0.4,"? ",,81282668338750207,266.83387963,-22.26678899,0.007,0.002,0.0,503635968,60,56038.86584491,4,57,18.1662,0.0099,18.2902,0.0128,114992,16.9857,0.0153,17.0603,0.016,115000,16.4052,0.0057,16.4619,0.0289,280,16.0626,0.004,16.1554,0.008,115000,15.8441,0.0082,15.909,0.0096,115000,1.87253
16,G006.1+00.5,269.3708333333333,-23.416666666666664,18.0,12.0,,"S ",,4.5,,0.9,,,79892693708729914,269.37085747,-23.41701074,0.01,0.008,0.0,436527104,52,56072.4871412,4,36,21.1729,0.0191,21.3602,0.0524,115000,19.6582,0.0048,19.7042,0.049,115000,18.73,0.0167,18.7728,0.0211,115000,18.1568,0.021,18.1223,0.0028,16793912,17.9534,0.0751,17.9597,0.0157,115000,1.241228
19,G006.4+04.0,266.29166666666663,-21.366666666666664,31.0,,,"S ",,1.3,?,0.4,"? ",,82352662915359981,266.29154851,-21.3669926,0.017,0.006,90.0,436527104,52,55758.89381944,3,21,19.9865,0.0277,20.2145,0.0347,115000,18.7624,0.0013,18.9068,0.0046,115000,18.0617,0.015,18.2141,0.0382,115000,17.6529,0.0131,17.7923,0.0028,16696,17.4387,0.0142,17.5376,0.0547,16696,1.238423
24,G008.3-00.0,271.14166666666665,-21.816666666666663,5.0,4.0,,"S ",,1.2,,0.6,,,81822711419410494,271.14194347,-21.81651331,0.018,0.016,90.0,436527104,52,56126.31896991,4,27,,,,,16416,,,,,114720,20.7198,0.0498,20.6105,0.047,115000,19.7922,0.0438,19.7194,0.1316,16892216,19.1138,0.0436,19.1433,0.1792,115000,1.077333
25,G008.7-05.0,276.04166666666663,-23.799999999999997,26.0,,,"S ",,4.4,,0.3,,,79442760420160211,276.04200496,-23.80003705,0.076,0.029,90.0,436527104,52,55925.09746528,10,56,20.1545,0.0333,20.0448,0.0345,115000,19.2198,0.0167,18.8668,0.0384,16892216,18.7966,0.012,18.448,0.0333,16892208,18.4782,0.0276,18.4894,0.067,115000,18.3692,0.0404,18.44,0.0464,115000,1.122243
26,G008.7-00.1,271.37499999999994,-21.43333333333333,45.0,,,S?,,80.0,,0.5,,(W30),82282713746640288,271.37465302,-21.43335182,0.027,0.027,90.0,436527104,52,55902.49829861,1,8,,,,,16416,,,,,16416,20.86,3.0E-4,,,16696,19.9765,0.0709,19.9543,0.1092,16696,19.4534,0.1098,19.7148,0.3293,114992,1.164646
27,G008.9+00.4,270.9916666666666,-21.049999999999997,24.0,,,"S ",,9.0,,0.6,,,82732709916549948,270.99167577,-21.05033447,0.022,0.021,90.0,436527104,52,55873.48760417,3,15,,,,,16416,,,,,16416,20.5918,0.1138,20.6611,0.0978,115000,19.7083,0.0543,19.782,0.1363,115000,19.0982,0.1469,19.3985,0.1466,115000,1.20448
28,G009.7-00.0,271.84166666666664,-20.583333333333332,15.0,11.0,,"S ",,3.7,,0.6,,,83302718416070272,271.84164351,-20.58335705,0.048,0.028,90.0,436527104,52,56118.08833333,4,21,,,,,16416,,,,,114720,21.3175,0.1265,21.5214,0.0111,115000,20.5005,0.112,20.7314,0.1507,115000,19.9835,0.1328,,,115000,0.115673
37,G011.4-00.1,272.69583333333327,-19.083333333333332,8.0,,,S?,,6.0,,0.5,,,85102726953090269,272.69533347,-19.08342999,0.084,0.058,90.0,436527104,52,55794.8962037,2,10,,,,,16416,,,,,16416,21.9576,0.2147,,,16696,20.9221,0.0608,,,115000,20.0944,0.2022,,,115256,1.735847
40,G012.2+00.3,272.82083333333327,-18.166666666666664,6.0,5.0,,"S ",,0.8,,0.7,,,86202728211050594,272.82105925,-18.16642983,0.063,0.063,90.0,1375805440,164,56501.50033565,1,3,,,,,0,,,,,114720,21.0407,0.0656,,,280,,,,,0,,,,,0,1.150698
47,G014.3+00.1,273.9916666666666,-16.45,5.0,4.0,,"S ",,0.6,,0.4,,,88262739918520542,273.99185614,-16.44985302,0.017,0.005,0.0,503635968,60,55858.03436343,3,34,22.103,,,,16420,19.711,,,,16420,18.6059,0.0634,18.7294,0.0273,16892216,17.396,0.0103,17.4959,0.0067,115000,16.4707,0.0222,16.1511,0.1325,115000,0.841388
49,G015.4+00.1,274.50833333333327,-15.449999999999998,15.0,14.0,,C?,,5.6,,0.62,,,89452745081139857,274.50809697,-15.45041601,0.01,0.005,0.0,503635968,60,55912.07166667,10,81,19.307,0.0069,19.4541,0.0221,115000,18.1604,4.0E-4,18.298,0.0066,115000,17.5999,0.0042,17.7162,0.0113,115000,17.2905,0.0063,17.441,0.0068,115000,17.0387,0.0178,17.2955,0.016,115000,1.707505
56,G017.4-02.3,277.72916666666663,-14.866666666666665,24.0,,?,"S ",,5.0,,0.5,"? ",,90162777289270414,277.7289325,-14.86661661,0.014,0.012,0.0,436527104,52,55982.58252315,4,30,21.9242,0.1588,,,16440,20.6326,0.0928,21.6663,0.2446,115000,19.5622,0.004,19.4162,0.0448,115000,18.7775,0.0078,19.0176,0.0429,115000,18.7464,0.0604,19.6478,0.2688,115000,0.834471
59,G018.1-00.1,276.14166666666665,-13.183333333333332,8.0,,,"S ",,4.6,,0.5,,,92182761420110326,276.14203066,-13.18340944,0.063,0.063,90.0,436363264,52,56253.42331019,8,6,,,,,16416,,,,,16416,,,,,16416,20.8058,0.071,,,115000,19.748,0.2072,,,115000,1.304928
61,G018.8+00.3,275.9916666666666,-12.383333333333331,17.0,11.0,,"S ",,33.0,,0.46,,Kes 67,93132759917509885,275.99164865,-12.38372953,0.045,0.014,90.0,436527104,52,56048.28222222,8,29,,,,,16416,21.0956,0.041,21.2902,0.0468,115000,19.5698,0.021,19.5651,0.0496,115000,18.4405,0.0584,17.7692,0.1601,16892216,17.8569,0.095,17.6896,0.0706,115000,1.427714
62,G018.9-01.1,277.4583333333333,-12.966666666666665,33.0,,,C?,,37.0,,0.39,,,92442774588260298,277.45880694,-12.96670377,0.019,0.014,0.0,436527104,52,55712.7597338,5,37,21.2107,0.0666,21.3194,0.0017,115000,19.543,0.0177,19.6479,0.0443,115000,18.6209,0.0132,18.5984,0.0198,115000,18.026,0.0174,18.0438,0.0158,16892216,17.618,0.0185,17.8382,0.0181,115000,1.666869
63,G019.1+00.2,276.2333333333333,-12.116666666666665,27.0,,,"S ",,10.0,,0.5,,,93452762333249851,276.23339581,-12.11706963,0.027,0.018,90.0,512024576,61,55947.57939815,2,26,24.465,,,,16420,21.375,,,,16420,19.6477,0.0326,19.3026,0.0462,16793912,18.3598,0.0169,18.0067,0.0196,16892216,17.4444,0.0713,17.0158,0.0177,16892216,1.467241
64,G020.0-00.2,277.02916666666664,-11.583333333333332,10.0,,,"F ",,10.0,,0.1,,,94102770291740033,277.0291871,-11.58362627,0.017,0.017,0.0,436527104,52,56102.97662037,8,28,17.9641,0.0069,18.647,0.015,20536,,,,,114720,20.8725,0.0325,21.1488,0.0799,115000,19.9934,0.0406,20.2712,0.0531,115000,19.6242,0.0126,,,115000,1.057031
65,G021.0-00.4,277.79999999999995,-10.783333333333331,9.0,7.0,,"S ",,1.1,,0.6,,,95062777996250847,277.79961495,-10.78294543,0.003,0.003,0.0,1443160064,172,55939.59915509,8,56,22.731,,,,16420,20.1441,0.0198,20.3106,0.0524,115000,17.8671,0.0076,17.9702,0.0113,115000,16.4798,0.0101,16.5619,0.0025,115000,15.5972,0.0224,15.716,0.0305,115000,1.950465
67,G021.6-00.8,278.41666666666663,-10.416666666666666,13.0,,,"S ",,1.4,,0.5,"? ",,95502784171510637,278.4171646,-10.41648889,0.032,0.031,0.0,436527104,52,56087.6271412,4,15,,,,,16416,,,,,16416,21.417,0.0843,,,115000,20.4146,0.0326,20.6198,0.2163,115000,19.6865,0.083,19.8538,0.2634,115000,1.875586
70,G023.3-00.3,278.68749999999994,-8.799999999999999,27.0,,,"S ",,70.0,,0.5,,W41,97442786871900769,278.68720845,-8.79972556,0.007,0.007,0.0,436527104,52,55954.01275463,20,61,21.5378,0.0441,21.4105,0.124,115000,19.9151,0.0148,20.0363,0.0167,16892216,18.9946,0.0144,19.1176,0.0106,115000,18.4579,0.0,18.7206,0.1812,115000,18.1315,0.0297,,,115000,1.432462
71,G024.7-00.6,279.6791666666666,-7.533333333333332,15.0,,?,S?,,8.0,,0.5,,,98962796790860686,279.67907831,-7.53311092,0.023,0.021,0.0,503635968,60,55702.27016204,2,13,26.208,,,,16420,22.354,,,,16420,19.916,,,,16420,20.4825,0.0591,20.4277,0.062,115000,18.7175,0.0389,18.6698,0.0792,115000,0.860546
73,G025.1-02.3,281.29166666666663,-7.999999999999999,80.0,30.0,?,"S ",,8.0,,0.5,"? ",,98392812914659921,281.291416,-8.00038487,0.01,0.002,0.0,436527104,52,55822.69333333,10,42,21.5143,0.0483,,,115000,20.0059,0.1051,,,115000,18.6039,0.0013,18.7817,0.0716,115000,17.9594,0.0043,18.2042,0.0071,115000,17.5912,0.0135,17.8649,0.0513,115000,1.648712
74,G027.4+00.0,280.32916666666665,-4.933333333333333,4.0,,,"S ",,6.0,,0.68,,4C-04.71,102082803287340472,280.32875981,-4.93331064,0.011,0.01,0.0,436527104,52,55979.73800926,9,41,,,,,16416,21.0757,0.041,21.2549,0.0486,115000,20.0917,0.0135,20.1231,0.0264,115000,19.4977,0.0484,19.6099,0.0335,115000,19.2111,0.0491,19.3586,0.0489,115000,1.461543
76,G028.6-00.1,280.97916666666663,-3.883333333333333,13.0,9.0,,"S ",,3.0,?,,"? ",,103342809791670793,280.97897533,-3.88306113,0.012,0.006,90.0,512024576,61,56015.52202546,3,60,23.339,,,,4,20.9693,0.0352,20.7515,0.0377,16777496,19.0893,0.0124,18.964,0.0178,16892216,17.7334,0.0101,17.6566,0.0076,16892216,16.8249,0.0146,16.7738,0.0082,16892216,1.196893
80,G030.7-02.0,283.60416666666663,-2.8999999999999995,16.0,,,"? ",,0.5,?,0.7,"? ",,104512836044999989,283.60457945,-2.90027141,0.035,0.033,0.0,168091648,20,56304.59386574,8,17,,,,,16416,,,,,114720,21.2844,0.0017,20.9107,0.1616,115000,20.4551,0.1494,20.6112,0.1328,98616,19.929,0.0196,,,115000,1.776874
81,G030.7+01.0,280.99999999999994,-1.533333333333333,24.0,18.0,,S?,,6.0,,0.4,,,106162809999400626,280.99996365,-1.53317408,0.036,0.036,0.0,436527104,52,56152.89295139,4,16,,,,,16416,21.948,0.0695,22.3821,0.0484,115000,20.9215,0.1254,20.844,0.1547,115000,20.2474,0.0979,20.2329,0.2526,115000,19.9155,0.0526,,,115000,0.588047
82,G031.5-00.6,282.79166666666663,-1.5166666666666666,18.0,,?,S?,,2.0,?,,"? ",,106182827916690157,282.7916497,-1.51690751,0.017,0.01,90.0,168091648,20,56142.82638889,9,56,,,,,114720,20.9112,0.0276,21.1285,0.0499,115000,20.0459,0.0218,20.2699,0.0325,115000,19.5246,0.0245,19.8491,0.0422,115000,19.2197,0.0261,19.5167,0.0729,33080,0.869183
