recno,Name,Vmag,SpType,n_Name,Teff,e_Teff,E_Teff,logg,e_logg,E_logg,[M/H],e_[M/H],E_[M/H],SMR,_RA,_DE,objID,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist
1,HD 236373,10.22,G0V," ",6010,15,25,4.5,0.05,0.15,-0.18,0.02,0.02," ",4.73522,59.80032,179760047358411094,4.73579246,59.80033646,0.136,0.136,90.0,302067712,36,55453.54733796,0,48,10.8582,0.001,10.6067,0.001,16778328,10.3954,0.0986,12.4679,0.0912,88,9.8408,0.1043,12.864,0.1196,88,10.0549,0.0785,12.0733,0.0903,88,10.3884,0.086,11.1705,0.0647,88,1.038334
3,[BHG88] 40 1943,14.77,G2V," ",5805,95,140,3.85,0.5,0.7,-0.3,0.14,0.16," ",10.1264,40.7196,156860101264174207,10.12640045,40.71964308,0.039,0.01,0.0,503635968,60,56002.61179398,5,74,15.045,0.0011,15.0596,0.0022,115000,14.6518,0.0047,14.6405,0.0036,115000,14.5098,0.0019,14.5223,0.0062,115000,14.493,0.0071,14.4987,0.0053,115000,14.4585,0.0038,14.4132,0.0089,115000,0.155093
4,HD 4602,9.04,G0V," ",5975,80,40,3.9,0.45,0.2,-0.08,0.04,0.04," ",12.18082,59.60553,179520121808116775,12.18082667,59.60548269,0.0,0.0,90.0,268959744,32,51986.82628472,0,16,9.062,0.0494,13.1374,0.1659,88,8.6797,,,,88,,,,,64,8.5168,0.1024,11.4204,0.1457,88,8.8617,0.1895,10.1576,0.0888,88,0.170749
5,BD+59 140,10.37,G2V," ",6060,30,40,4.1,0.2,0.25,0.08,0.02,0.04," ",13.62071,60.64359,180770136210012670,13.62075723,60.64368524,0.124,0.124,90.0,302067712,36,55877.39777778,0,44,10.6117,0.0207,12.6237,0.1162,88,10.0092,0.1401,12.8562,0.0399,88,10.1959,0.0329,12.4239,0.0808,88,9.9117,0.103,11.964,0.1349,88,10.9728,0.0,10.7416,0.0,16778328,0.352851
6,TYC 4497-874-1,10.92,G3V,*,7000,0,0,3.0,0.2,0.0,0.04,0.02,0.04," ",13.62312,77.7844,201340136230432101,13.62352994,77.78434364,0.035,0.032,0.0,1141170176,136,54252.43811343,5,67,10.939,,,,65636,10.84,,,,65636,10.831,,,,65636,10.821,,,,32868,10.805,,,,114788,0.372391
7,HD 5649,8.7,G0V," ",5830,50,55,4.45,0.2,0.25,-0.08,0.04,0.04," ",14.82208,61.9101,182290148226242659,14.82286359,61.91010311,0.001,0.001,90.0,1343750144,160,55903.67756944,3,4,,,,,0,7.5875,0.0,13.0791,0.001,114744,,,,,114720,,,,,114720,8.8237,0.0,10.3474,0.0,24,1.328297
8,TYC 4017-1351-1,11.22,G0V," ",5810,55,95,4.6,0.2,0.4,0.06,0.04,0.08," ",15.14566,61.01408,181210151456067683,15.14524168,61.01426886,0.016,0.016,90.0,1141006336,136,55464.44767361,6,56,11.512,,,,114788,11.111,,,,114788,10.932,,,,100,10.838,,,,114788,10.807,,,,114788,0.997411
9,BD+60 167,10.34,G0V," ",5810,60,55,4.1,0.3,0.25,0.06,0.06,0.06," ",17.06033,61.32857,181590170608145239,17.06063572,61.32877016,0.038,0.038,90.0,302067712,36,56172.46787037,0,46,13.1752,,,,24,10.3248,0.0043,13.1501,0.0448,24,10.026,0.0272,13.1723,0.0479,24,9.9262,0.0421,12.4935,0.0806,24,11.5527,0.001,10.9022,0.001,16778264,0.893344
10,Kiev 10 24,12.55,G0V," ",6000,80,50,3.75,0.5,0.3,0.12,0.08,0.06," ",19.52696,3.30061,111960195270461062,19.52713966,3.30059765,0.026,0.016,90.0,906289152,108,55837.88172454,5,82,12.987,,,,114724,12.614,,,,114724,12.456,,,,114724,12.378,,,,114724,12.282,0.0036,12.2944,0.0025,115000,0.647232
11,BD+02 189,10.29,G1V," ",5780,60,45,4.35,0.25,0.25,-0.12,0.06,0.06," ",19.59894,3.13267,111750195992039433,19.5992427,3.1324913,0.001,0.001,90.0,1107374080,132,55668.56903935,10,65,11.8124,0.0033,15.2332,0.0036,102520,10.1435,0.0624,,,98424,9.8383,0.0788,12.3811,0.0989,98424,9.9908,0.0591,11.811,0.1114,98424,11.6534,0.001,10.7976,0.001,16876664,1.264043
