recno,Name,OName,Ref,n_Name,RAJ2000,DEJ2000,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Old,New,TBB,e_TBB,Tdust1,e_Tdust1,Tdust2,e_Tdust2,Tdust3,Tcool,Peak,e_Peak,TGaia,Dist,b_Dist,B_Dist,OVI,OVI2,r_OVI,r_OVI2,X-ray,SimbadName,objID,RAJ2000_x,DEJ2000_x,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist
1,IC10 SySt-1,,104,,5.1399583333333325,59.312749999999994,,,,,,,13.77,0.03,13.53,0.04,12.68,,9.36,,?,"?   ",,,,,,,,,,,,,,,"X ",,25,,,[GMM2008b] IC10 SySt-1,179170051397985962,5.13980155,59.31272542,0.017,0.016,0.0,436527104,52,55732.94821759,3,22,,,,,16416,,,,,16416,20.9776,0.071,20.372,0.1307,16892216,19.2525,0.0988,18.989,0.1456,115000,19.1194,0.0837,19.1116,0.1377,115000,0.301338
4,M31 SySt-1,,116,,9.692333333333332,40.12138888888888,,,,,,,,,,,,,,,S,"?   ",,,,,,,,,,,,,,,"C ",,17,,,M31SyS J003846.16+400717.0,156140096922756266,9.69232953,40.12139635,0.034,0.031,0.0,436527104,52,56270.52950231,4,21,,,,,16416,21.9968,0.1123,22.9155,0.1275,115000,21.4977,0.027,21.7243,0.0846,115000,20.7058,0.0241,21.0448,0.0203,115000,20.0811,0.0653,20.1968,0.1906,115000,0.028828
5,M31 SySt-2,,116,,9.738291666666665,40.525611111111104,,,,,,,,,,,,,,,S,"?   ",,,,,,,,,,,,,,,"X ",,17,,,M31SyS J003857.17+403132.2,156630097382211369,9.73820753,40.52559245,0.024,0.023,0.0,436527104,52,56149.55069444,5,34,22.0592,0.0529,22.2821,0.0882,115000,21.7548,0.0635,21.5883,0.1065,115000,21.2054,0.0495,21.0546,0.1315,115000,20.4967,0.0314,20.442,0.1291,16892216,19.8646,0.0529,19.9427,0.1369,115000,0.239834
6,NGC185 SySt-1,,121,,9.751499999999998,48.324055555555546,,,,,,,13.47,0.03,13.45,0.04,12.68,,9.28,,S,"?   ",,,,,,,,,,,,,,,"C ",,10,,,NAME NGC 185 SySt-1,165980097512949604,9.75127078,48.32408978,0.111,0.111,90.0,310456320,37,56910.47356481,0,3,,,,,0,,,,,0,20.7576,0.1097,18.8426,0.0542,16777496,,,,,0,,,,,0,0.562347
7,M31 SySt-4,,116,,9.883375,40.2068611111111,,,,,,,,,,,,,,,S,"?   ",,,,,,,,,,,,,,,"C ",,17,,,M31SyS J003932.01+401224.7,156240098832268937,9.88328691,40.20689863,0.03,0.015,0.0,436527232,52,56331.00037037,5,39,21.5842,0.0866,21.6526,0.1561,115000,21.4254,0.0871,20.7589,0.141,115000,20.6623,0.0526,20.7982,0.059,115000,20.3711,0.08,20.3825,0.0945,115000,19.8604,0.0839,19.9716,0.167,115000,0.27731
8,M31 SySt-5,,116,,9.966041666666666,40.36494444444444,,,,,,,,,,,,,,,S,"?   ",,,,,,,,,,,,,,,"X ",,17,,,M31SyS J003951.85+402153.8,156430099659798486,9.96599145,40.36483136,0.039,0.036,0.0,436527104,52,56293.175,4,18,,,,,16416,21.6278,0.1824,21.3695,0.2757,114992,21.2149,0.0924,21.2866,0.1441,115000,20.7602,0.0378,21.0108,0.0874,115000,20.3355,0.1079,20.5002,0.055,115000,0.429775
9,M31 SySt-6,,116,,10.024833333333332,40.2678611111111,18.26,,16.62,,16.75,0.24,,,,,,,,,S,"?   ",,,,,,,,,,,,,,,"C ",,17,,,M31SyS J004005.96+401604.3,156320100248461954,10.02486177,40.26782974,0.014,0.013,0.0,436527104,52,56263.59261574,5,47,21.9266,0.1868,22.0978,0.3193,115000,20.9265,0.056,20.8528,0.0484,115000,20.2426,0.0381,20.2976,0.0486,115000,19.9309,0.1508,19.7505,0.1057,16892216,19.6693,0.0271,19.463,0.095,115000,0.137318
10,NGC 205 SySt-1,,114,,10.073333333333332,41.698138888888884,,,,,,,,,,,,,,,S,"?   ",,,,,,,,,,,,,,,"C ",,15,,,NAME NGC 205 SySt-1,158030100735658466,10.07359599,41.69822594,0.017,0.017,90.0,444674048,53,55467.32278935,3,10,,,16.113,0.0064,114744,18.6996,0.0,12.7969,0.0,16892216,,,11.7437,0.008,114744,,,13.369,0.0,16440,,,,,16416,0.772441
11,M31 SySt-7,,116,,10.087916666666665,40.75030555555555,,,,,,,,,,,,,,,S,"?   ",,,,,,,,,,,,,,,"X ",,17,,,M31SyS J004021.10+404501.1,156900100878891024,10.08786231,40.75032189,0.046,0.046,90.0,436363264,52,56249.59672454,4,6,,,,,16416,,,,,114720,21.3186,0.0618,,,114744,20.277,0.321,,,114744,19.9416,0.0734,,,115000,0.15948
12,M31 SySt-8,,116,,10.247083333333332,40.83416666666666,,,,,,,14.88,0.08,14.66,0.06,12.95,,8.81,,S,"?   ",,,,,,,,,,,,,,,"C ",,17,,,M31SyS J004059.40+405003.1,157000102473811628,10.24738619,40.83415541,0.046,0.046,90.0,436363264,52,56178.74697917,1,5,21.7781,0.1749,21.364,0.252,16696,,,,,16416,,,,,16416,,,,,16416,19.3111,0.2196,,,115000,0.825909
