# ra,dec,radius
264.42886,-27.81932,2.0
268.34908,-29.82931,2.0
274.702,-32.7987,2.0
267.60123,-29.42186,2.0
263.89753,-27.40138,2.0
272.128,-31.6099,2.0
250.97409,-18.9533,2.0
267.54154,-29.31816,2.0
262.34732,-26.43455,2.0
268.83557,-29.96004,2.0
268.44009,-29.72954,2.0
271.18369,-31.04671,2.0
264.91371,-27.78942,2.0
271.26123,-30.9715,2.0
255.38988,-21.82577,2.0
260.09152,-24.86451,2.0
269.43069,-30.04164,2.0
268.60571,-29.60244,2.0
269.58057,-30.01092,2.0
265.60461,-27.92665,2.0
264.88007,-27.46299,2.0
269.81494,-30.04643,2.0
268.35434,-29.28576,2.0
268.49,-29.3377,2.0
267.79794,-28.9406,2.0
268.15021,-29.111,2.0
269.53986,-29.73891,2.0
270.58017,-30.24038,2.0
262.35812,-25.81851,2.0
263.72797,-26.59914,2.0
267.69483,-28.74311,2.0
274.40497,-31.94635,2.0
265.635,-27.5544,2.0
267.59651,-28.55288,2.0
268.45715,-28.98646,2.0
274.65601,-31.91262,2.0
265.84733,-27.56811,2.0
271.7756,-30.57138,2.0
267.853,-28.5946,2.0
269.01151,-29.18784,2.0
265.11417,-27.01722,2.0
273.55908,-31.18586,2.0
268.71692,-28.81537,2.0
265.05341,-26.73927,2.0
268.397,-28.4808,2.0
270.15665,-29.36395,2.0
268.44667,-28.455,2.0
268.27747,-28.3031,2.0
262.15674,-24.85183,2.0
270.61,-29.4182,2.0
268.03638,-28.03808,2.0
263.84217,-25.71307,2.0
274.05112,-30.86882,2.0
265.82062,-26.73821,2.0
268.64526,-28.21196,2.0
267.19245,-27.4269,2.0
273.316,-30.4336,2.0
262.00732,-24.42306,2.0
271.81063,-29.69012,2.0
266.155,-26.7904,2.0
271.97449,-29.74285,2.0
269.00996,-28.23671,2.0
271.273,-29.3376,2.0
265.352,-26.0648,2.0
273.77722,-30.25914,2.0
271.78015,-29.21843,2.0
269.83051,-28.23001,2.0
264.46292,-25.34572,2.0
265.98836,-26.1982,2.0
270.42755,-28.42886,2.0
267.188,-26.7235,2.0
274.08057,-30.12666,2.0
270.249,-28.2719,2.0
277.29854,-31.49978,2.0
265.625,-25.75752,2.0
275.644,-30.7249,2.0
271.12,-28.6273,2.0
262.33517,-23.75951,2.0
271.02264,-28.46414,2.0
271.52389,-28.675,2.0
269.63007,-27.61816,2.0
262.67166,-23.75011,2.0
260.32373,-22.30981,2.0
