idPNMain,PNG,Name,PNstat,RAJ2000,DECJ2000,DRAJ2000,DDECJ2000,Glon,Glat,Catalogue,PAdiam,EPA,mainClass,subClass,objID,RAJ2000_x,DEJ2000,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist
33332,003.7-02.9,PNG003.71-02.9,P,18:05:27.287,-27:11:33.937,271.3637,-27.19276,3.71163,-2.90105,ziggy,,,E,a;,75362713631478854,271.36314259,-27.1929198,0.012,0.011,0.0,168091648,20,56024.86716435,7,60,19.5585,0.0152,19.8168,0.0261,115000,18.3747,0.0144,18.3901,0.0337,33080,17.8907,0.0242,17.9211,0.0672,114992,17.4646,0.0047,17.4147,0.0164,16892216,17.3397,0.0179,17.5993,0.0236,115000,1.875303
33333,003.5-02.4c,IC4673a,P,18:03:12.223,-27:05:17.442,270.80093,-27.08818,3.5577,-2.4131,ziggy,,,E,,75492708005854205,270.80056202,-27.08840048,0.057,0.044,90.0,444915712,53,56001.09327546,2,14,,,,,16416,,,,,16416,18.8775,0.0168,17.8297,0.0134,16793904,18.1448,0.0273,17.8452,0.0407,16892216,17.5357,0.0178,16.3835,0.0288,16892216,1.421626
33344,000.5-03.9,PNG000.57-03.96,P,18:02:41.909,-30:26:24.634,270.67462,-30.44018,0.57739,-3.9603,ziggy,,,B,,71472706741812227,270.67412618,-30.44007121,0.043,0.043,90.0,302063616,36,56833.68667824,0,9,20.4572,0.3291,18.7797,0.1136,1040,,,,,0,,,,,0,,,,,0,,,,,0,1.581951
33354,001.1-04.1a,PNG001.14-04.14,P,18:04:43.439,-30:02:15.995,271.181,-30.03778,1.14348,-4.14589,ziggy,,,,,71952711811294770,271.18115904,-30.03791897,0.039,0.014,90.0,168091648,20,56432.25454861,1,8,,,,,32800,,,,,32,19.2434,0.0318,,,272,19.0229,0.0459,17.2936,0.0602,304,,,,,32,0.704244
33355,359.8-03.1,PNG359.89-03.19,P,17:58:02.20,-30:39:15.7,269.50917,-30.65436,359.89432,-3.19314,ziggy,,,,,71212695088024694,269.50883167,-30.6546843,0.03,0.03,90.0,302063616,36,55816.26030093,0,4,21.9155,0.1998,,,272,,,,,0,,,,,0,18.7143,0.0316,,,280,18.3547,0.0564,,,16,1.568712
33416,006.4-01.9,Mul 17,L,18:07:32.10,-24:20:17.91,271.88375,-24.33831,6.43584,-1.92167,FrenchAmateurs,,,S,,78792718837334337,271.88373253,-24.33833729,0.013,0.006,0.0,512024576,61,55881.57607639,5,59,21.5223,0.0598,21.7661,0.012,115000,18.3404,0.0112,18.2082,0.0387,16892216,17.6974,0.0045,17.6323,0.004,16892216,16.8012,0.0085,16.7307,0.0249,16892216,16.2366,0.0035,16.1656,0.0062,16892216,0.113734
33427,134.3+02.5,StDr 61,P,"02:35:23.84 ",+63:03:02.35,38.84933,63.05065,134.39817,2.51679,FrenchAmateurs,,,E,a;,183660388493201512,38.84931015,63.05061547,0.004,0.004,90.0,503635968,60,56070.73508102,5,68,15.4406,0.009,15.4753,0.0049,115000,15.7835,0.0057,15.8398,0.0024,115000,16.0834,0.0029,16.1591,0.0026,115000,16.3446,0.0026,16.4173,0.0043,115000,16.5058,0.0051,16.6225,0.0169,115000,0.128457
33460,152.0-09.5,StDr 138,L,03:37:55.76,+43:44:15.71,54.48233,43.7377,152.05031,-9.52258,FrenchAmateurs,,,E,a;m;s;,160480544823165878,54.48237817,43.73770206,0.01,0.008,0.0,436527104,52,56312.14041667,5,66,17.9085,0.0036,17.9813,0.0109,115000,18.104,0.0054,18.224,0.0058,115000,18.3344,0.0076,18.4366,0.0131,115000,18.5446,0.0113,18.6553,0.013,115000,18.6453,0.024,18.7386,0.0365,115000,0.125512
33461,082.3+07.2,StDr 139,T,20:10:09.92,+46:43:18.98,302.54133,46.72194,82.33641,7.26652,FrenchAmateurs,,,E,a;r;,164063025413406932,302.54130592,46.72189797,0.013,0.009,0.0,436527104,52,55978.77450231,5,43,18.9136,0.006,19.0509,0.023,115000,19.1555,0.2484,19.2204,0.2577,115000,19.2462,0.0252,19.4162,0.0435,115000,19.4197,0.0329,19.7422,0.1015,115000,19.7482,0.119,19.8712,0.0923,115000,0.16256
33462,056.8-06.5,StDrBl 1,L,20:01:25.43,+17:51:24.60,300.35596,17.85683,56.8907,-6.59553,FrenchAmateurs,,,E,a;r;s;,129423003560168628,300.35599915,17.85672541,0.008,0.007,0.0,436527104,52,56155.02053241,5,43,19.2095,0.0143,19.2966,0.0078,115000,19.4328,0.0094,19.5272,0.0191,115000,19.6732,0.0132,19.7259,0.0295,115000,19.9265,0.0686,19.8988,0.1135,115000,19.8288,0.103,19.7163,7.0E-4,115000,0.399708
