recno,uid,R,GCVS,RAJ2000,DEJ2000,pmRA,e_pmRA,pmDE,e_pmDE,Epoch,GLON,GLAT,VarType,Per,OutDate,Cl,l_Maxmag,Maxmag,n_Maxmag,l_Minmag,Minmag,u_Minmag,n_Minmag,ref(Coo),f_ref(Coo),ref(pm),ref(CV),f_ref(CV),ref(CV)2,f_ref(CV)2,ref(Cha),u_ref(Cha),n_ref(Cha),ref(Sp),n_ref(Sp),u_ref(Sp),f_ref(Sp),ref(Per),f_ref(Per),Names,IUE,HST,ARIEL5,HEAO1,HEAO2,EXOSAT,ROSAT,GINGA,ASCA,EUVE,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx,e_Plx,RPlx,PM,pmRA_x,e_pmRA_x,pmDE_x,e_pmDE_x,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff,b_Teff_x,B_Teff_xa,logg,b_logg_x,B_logg_xa,[Fe/H],b_[Fe/H]_x,B_[Fe/H]_xa,Dist,b_Dist_x,B_Dist_xa,A0,b_A0_x,B_A0_xa,AG,b_AG_x,B_AG_xa,E(BP-RP),b_E(BP-RP)_x,B_E(BP-RP)_xa,Lib,RAJ2000_x,DEJ2000_x,e_RAJ2000,e_DEJ2000,RADEcorJ2000,angDist
212,7049,*,Cet2,42.82379166666666,5.629916666666666,0.024,0.006,-0.022,0.002,2000.0,169,-46,CV,,,,,16.2,B,,17.6,,V,2003-115,,2003-115,1986-06,*,,,1986-06,,,1995-07,S,,,,,PG 0248+054,,,,,,,,,,,Gaia DR3 6353119919810816,42.82386874126,5.62973084653,0.0,0.0,45.0,1636148068921376768,6353119919810816,1801340286,0.0471,0.0472,0.5469,0.0541,10.1016,35.233,21.772,0.065,-27.7,0.064177796,0.3071,0.1415,0.1397,0.1318,-0.0082,0.0868,0.2119,0.1608,0.2895,0.2842,165,0,165,0,-0.9563,173.97,0.0,0.0,31,false,1.811,,,,,,,,19,14,0.102926,22,0.04734,157.2,0,0,0.945,0,171,5977.34388,5.0813,1176.34,16.246096,0.002906,22,4564.56,13.8417,329.768,16.190046,0.004316,20,2273.57,12.5955,180.507,16.356123,0.007104,1.144,0,1,0,1,0,-0.166077,-0.056049,-0.110027,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999998,18276.8,18243.3,18303.5,4.4859,4.4849,4.4868,-0.5958,-0.5983,-0.5916,15997.161,15944.362,16037.328,0.2195,0.2158,0.2229,0.2193,0.2156,0.2226,0.118,0.116,0.1198,A,42.82377150596,5.62985395863,1.038387,1.017888,0.2788,0.723703
200,7048,*,Cet1,40.72270833333333,6.795999999999999,,,,,,165,-47,CV,,,,,16.4,B,,,,,ICRS,,,1986-06,*,,,1986-06,,,1999-09,S,,,,,PG 0240+066,,,,,,,,,,,Gaia DR3 18690877333956992,40.72256814639,6.79597928022,0.0,0.0,70.0,1636148068921376768,18690877333956992,1147803360,0.0658,0.0581,0.3411,0.0743,4.5903,1.814,-1.071,0.096,-1.464,0.07050409,0.1039,0.2523,-0.1496,0.1974,-0.126,0.1596,-0.0349,-0.0433,0.2428,-0.0528,133,9,133,0,-1.9572,112.29,0.0,0.0,31,false,1.793,,,,,,,,16,12,0.133853,18,0.111,83.91,0,0,0.878,0,139,4638.77951,6.6564,696.891,16.521358,0.003165,13,3480.54,17.617,197.568,16.484425,0.006163,14,1796.43,18.4982,97.1137,16.611868,0.011802,1.138,0,1,0,0,0,-0.127443,-0.036934,-0.090509,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999999,,,,,,,,,,,,,,,,,,,,,,,40.72257293946,6.79598578719,1.546918,1.131588,-0.0685,0.506648
207,6887,,WX Ari,41.90091666666666,10.593805555555553,0.0084,0.0058,-0.0165,0.006,2000.0,164,-43,UX,0.139351,,,,15.3,V,,15.8,,V,2004-105,,2004-105,1995-41,,,,1982-06,,,1992-15,S,,,2000-105,,PG 0244+104,U,,,,,,R,,,,Gaia DR3 22272497806324480,41.9009637153,10.59373944455,0.0,0.0,71.0,1636148068921376768,22272497806324480,510087571,0.0814,0.0639,1.7731,0.0463,38.3129,18.556,8.755,0.096,-16.361,0.072008446,0.1959,-0.5292,-0.8998,-0.1975,-0.2017,-0.2062,-0.8519,0.5689,0.1828,0.2891,185,0,182,3,-0.8808,167.0,0.0,0.0,31,true,1.601,,,,,,,,21,15,0.158873,24,0.8721,152.7,0,0,0.952,0,114,1419.31422,63.4543,22.3675,17.80717,0.048619,14,881.002,119.987,7.34246,17.976099,0.147897,14,955.374,113.598,8.41011,17.297462,0.129154,1.294,0,0,0,0,0,0.678637,0.168928,0.509708,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,41.90092413013,10.59381216193,1.603134,1.207052,0.2838,0.290452
247,7820,*,V701 Tau,56.00791666666666,21.952333333333332,,,,,,168,-26,UGSU,,,,,14.1,V,<,21.0,,V,1995-47,,,1995-47,,,,1995-47,,,,,,,,*,SVS 1972,,,,,,,,,,,Gaia DR3 64362494408898048,56.008227963,21.95196567019,0.001,0.0,106.0,1636148068921376768,64362494408898048,828850152,0.5754,0.4065,0.742,0.662,1.1209,2.965,0.825,0.81,-2.848,0.72578746,-0.215,0.4779,0.1186,-0.7179,-0.3307,-0.4866,-0.33,-0.5373,-0.4994,0.4823,131,0,131,0,-0.7009,119.88,0.0,0.0,95,false,,1.5887,0.0428,-0.006,0.099,-0.048,-0.156,-0.008,15,10,1.355599,19,0.9719,74.64,0,0,0.953,0,107,120.21274,3.73255,32.2066,20.48749,0.033824,14,63.3849,8.07333,7.85114,20.833578,0.138318,14,85.0563,14.9584,5.68621,19.92363,0.19098,1.235,0,0,0,0,0,0.909948,0.346088,0.56386,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.985374,2.5E-5,0.0146,,,,,,,,,,,,,,,,,,,,,,,56.00822401007,21.95197832923,12.904516,11.753037,0.5268,1.682934
246,8276,,V1209 Tau,55.807666666666655,24.08594444444444,,,,,,166,-24,NL,,,,,16.2,p,,17.3,,p,ICRS,,,T00000,,,,1999-98,,,,,,,,,NSV 15743,,,,,,,,,,,Gaia DR3 65262719554848896,55.80769114744,24.08594908521,0.0,0.0,94.0,1636148068921376768,65262719554848896,454929483,0.0429,0.0321,0.16,0.0468,3.4195,5.593,4.003,0.052,-3.907,0.03812708,-0.0442,0.1631,-0.206,0.1219,-0.322,0.0527,0.0468,0.138,0.1013,0.0219,246,0,245,1,-1.0019,227.66,0.0,0.0,31,false,1.52,,,,,,,,29,16,0.072163,33,0.1395,72.46,0,0,0.953,0,270,6182.6747,75.0387,82.3931,16.209425,0.013462,31,3255.23,150.568,21.6197,16.557087,0.050297,31,4639.92,165.586,28.0213,15.581618,0.038931,1.277,0,0,0,3,0,0.975469,0.347662,0.627807,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,0.999988,6342.4,6312.5,6373.7,4.4008,4.375,4.4224,-3.5383,-4.0194,-2.9966,1538.2697,1498.2369,1586.3523,0.7763,0.7588,0.7946,0.6563,0.6411,0.6718,0.3628,0.3544,0.3713,MARCS,55.80767165968,24.08596644813,0.834045,0.609374,0.0125,0.082174
248,7818,,OV Tau,56.52612499999999,29.68744444444444,0.0076,0.0067,-0.0032,0.0066,2000.0,162,-19,NL,,,,,15.5,p,,16.5,,p,2004-105,,2004-105,1989-16,,,,1982-03,,,1994-07,S,,,,,S 10158,,,,,,,,,,,Gaia DR3 72035195785242240,56.52612843143,29.68740219847,0.0,0.0,84.0,1636148068921376768,72035195785242240,1338910391,0.0342,0.0228,2.4669,0.0373,66.0668,6.133,2.872,0.042,-5.419,0.032093108,0.0814,0.3815,-0.127,0.1898,-0.0939,0.2315,0.4069,0.0636,-3.0E-4,0.2113,213,0,213,0,4.0237,299.06,0.127,3.9051,31,true,1.39,,,,,,,,25,16,0.059611,31,0.05041,130.3,0,0,1.202,0,265,22145.94633,337.564,65.6051,14.824131,0.016777,30,7449.21,506.642,14.7031,15.658266,0.073897,30,22967.9,793.695,28.938,13.845091,0.037709,1.373,0,1,0,0,0,1.813175,0.834135,0.97904,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999705,3714.4,3658.3,3732.9,4.069,4.033,4.1316,-0.2135,-0.3106,-0.1779,375.4994,343.7437,398.1817,0.0164,0.0035,0.0507,0.0113,0.0024,0.0349,0.0067,0.0014,0.0205,PHOENIX,56.52611373636,29.68742628292,0.66981,0.504627,0.1932,0.152464
170,6886,*,TT Ari,31.72120833333333,15.294944444444443,-0.0065,0.0014,-0.0295,0.0013,2000.0,149,-43,VY/DQ:,0.13755,,,,9.5,v,,14.5,,v,2000-110,*,2000-110,1995-32,/,1994-46,,1983-12,,*,1983-12,S,,,2002-132,,BD +14 341,U,H,,1,2,E,R,,A,X,Gaia DR3 78395045917118976,31.72112157741,15.29485318618,0.0,0.0,54.0,1636148068921376768,78395045917118976,1079227641,0.0284,0.0262,4.0183,0.0323,124.4668,25.577,-9.56,0.037,-23.723,0.030754674,0.2485,0.2365,-0.0377,0.1366,-0.0141,0.0984,0.0581,0.1215,0.2393,0.2803,215,215,214,1,3.4497,1920.6,0.245,72.481,31,false,1.764,,,,,,,,24,15,0.054382,26,0.2002,160.1,0,0,1.172,0,231,812338.84529,6660.16,121.97,10.913024,0.009318,25,604564.0,15134.2,39.9469,10.884935,0.027322,25,360214.0,7310.28,49.2749,10.856495,0.022356,1.188,0,0,0,1,0,0.02844,-0.028089,0.056529,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,5.0E-5,,,,,,,,,,,,,,,,,,,,,,,31.72116562868,15.29495862189,0.591476,0.49125,0.2688,0.445745
171,8043,,Tri,32.37416666666666,28.541472222222218,-0.004,0.001,-0.022,0.004,2000.0,143,-31,AM,0.066855,,,,18.4,B,,,,,2003-115,,2003-115,2005-104,,,,2001-60,,,2001-60,S,,,2005-125,,1RXS J020928+283243,,,,,,,R,,,,Gaia DR3 107522105369340800,32.37423388186,28.54132872352,0.0,0.0,39.0,1636148068921376768,107522105369340800,353809570,0.0919,0.0967,3.6192,0.1068,33.8839,23.9,4.995,0.135,-23.372,0.14001581,0.2564,-0.0179,-0.105,0.0426,-0.1249,0.067,0.0621,0.0285,0.1168,0.381,203,0,202,1,-0.6458,191.49,0.0,1.4319E-15,31,false,1.602,,,,,,,,23,15,0.22412,24,0.8759,72.01,0,0,0.966,0,211,1338.09088,22.1525,60.4036,17.871153,0.018185,23,790.405,31.4754,25.1118,18.093918,0.043326,21,913.729,37.8555,24.1373,17.345852,0.04514,1.274,0,0,0,2,0,0.748066,0.222765,0.525301,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,1.0E-6,0.0,0.999999,,,,,,,,,,,,,,,,,,,,,,,32.37420861081,28.54143259799,2.179388,2.236327,0.3755,0.55862
202,7948,*,Ari,41.24074999999999,27.519249999999996,0.022,0.005,-0.008,0.003,2000.0,152,-29,UGSU,,,,,12.0,p,<,16.0,,p,2003-115,,2003-115,2004-70,*,,,A9999-99,,*,,,,,,*,NSV 907,,,,,,,,,,,Gaia DR3 126928996700556928,41.24082278912,27.51920400475,0.0,0.0,60.0,1636148068921376768,126928996700556928,267737907,0.128,0.1173,2.9866,0.1467,20.3535,16.945,16.735,0.198,-2.655,0.15333717,0.1499,0.129,0.0261,-0.0534,-0.1802,-0.1261,0.0265,0.1418,0.1809,0.0418,212,0,212,0,0.7758,232.12,0.0,1.3969E-15,31,false,1.582,,,,,,,,24,15,0.274861,25,0.3136,70.62,0,0,1.037,0,220,853.94591,10.1508,84.1256,18.358791,0.013197,22,484.711,15.8831,30.5174,18.624836,0.035687,24,603.083,36.3001,16.6138,17.796953,0.065461,1.274,0,0,0,1,0,0.827883,0.266045,0.561838,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.036673,0.96331,1.7E-5,,,,,,,,,,,,,,,,,,,,,,,41.24073892124,27.51921580534,3.165343,2.453084,0.0503,0.285349
184,7833,*,RW Tri,36.40066666666666,28.09747222222222,0.0229,0.0026,-0.0206,0.0023,2000.0,147,-30,UX,0.231883,,,,12.6,V,,15.6,,V,2004-105,,2004-105,1995-41,,,,1983-12,,,1983-12,S,,,1991-35,,5.1938,U,H,,,,,R,,,,Gaia DR3 130692247044752768,36.40076869475,28.09739131253,0.0,0.0,24.0,1636148068921376768,130692247044752768,902595802,0.0176,0.0204,3.2671,0.0223,146.3243,29.652,23.822,0.024,-17.656,0.023508817,0.1716,0.271,-0.0372,0.2645,-0.3917,0.4449,0.5369,-0.3633,-0.096,0.4019,180,52,180,0,6.1031,330.45,0.089,6.0678,31,true,1.629,,,,,,,,21,12,0.041482,23,0.2448,137.3,0,0,1.341,0,195,94761.19151,2844.8,33.3103,13.24579,0.032711,20,54670.5,6279.72,8.70588,13.49416,0.124744,20,56758.7,4662.63,12.1731,12.862815,0.089272,1.176,0,0,0,0,0,0.631345,0.248369,0.382976,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.109432,0.0,1.52E-4,,,,,,,,,,,,,,,,,,,,,,,36.400648675,28.0974697835,0.386124,0.365582,0.3756,0.43569
