recno,Name,Vmag,SpType,n_Name,Teff,e_Teff,E_Teff,logg,e_logg,E_logg,[M/H],e_[M/H],E_[M/H],SMR,_RA,_DE,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff_x,b_Teff_x,B_Teff_xa,logg_x,b_logg_x,B_logg_xa,[Fe/H],b_[Fe/H]_x,B_[Fe/H]_xa,Dist,b_Dist_x,B_Dist_xa,A0,b_A0_x,B_A0_xa,AG,b_AG_x,B_AG_xa,E(BP-RP),b_E(BP-RP)_x,B_E(BP-RP)_xa,Lib,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000,angDist
1,HD 236373,10.22,G0V," ",6010,15,25,4.5,0.05,0.15,-0.18,0.02,0.02," ",4.73522,59.80032,Gaia DR3 428362484581344640,4.73596032388,59.80035502561,0.0,0.0,150.0,1636148068921376768,428362484581344640,1657515314,0.0079,0.0087,4.3944,0.0115,381.6392,84.45,84.178,0.01,6.772,0.011,-0.1847,0.0302,-0.0414,-0.1536,0.0133,-0.1762,0.1611,-0.0653,0.1618,-0.25,466,466,461,5,-5.1516,714.52,0.059,4.8976,31,false,1.557,,,,,,,,53,28,0.016997,61,0.004865,36.12,0,0,0.834,0,495,1797542.25131,344.729,5214.36,10.050669,0.002763,57,966418.0,518.84,1862.65,10.37563,0.00285,55,1195450.0,442.026,2704.48,9.554067,0.003801,1.203,0,0,0,0,0,0.821564,0.324962,0.496602,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999245,5729.3,5715.9,5744.4,4.0281,4.0257,4.0328,-0.4028,-0.4156,-0.3908,225.143,223.3405,225.9562,0.084,0.0758,0.0927,0.0706,0.0637,0.078,0.0381,0.0343,0.0421,MARCS,4.73521655759,59.80032492776,0.165167,0.179259,-0.2355,1.346535
3,[BHG88] 40 1943,14.77,G2V," ",5805,95,140,3.85,0.5,0.7,-0.3,0.14,0.16," ",10.1264,40.7196,Gaia DR3 381153745949562752,10.12642178883,40.71964629613,0.0,0.0,84.0,1636148068921376768,381153745949562752,598941527,0.4796,0.3987,3.6701,0.6144,5.9731,5.738,5.712,0.504,0.55,0.482,0.0382,0.337,-0.3705,-0.0885,-0.1226,-0.103,-0.4059,-0.0294,0.0568,0.0671,331,0,327,4,292.9139,218460.0,4.858,6919.5,31,false,1.553,,,,,,,,38,19,0.750935,39,0.09663,143.3,79,0,25.636,0,277,20083.19545,36.4155,551.502,14.930285,0.003386,37,13646.4,27.3715,498.564,15.000993,0.003539,37,17382.8,35.3004,492.424,14.147597,0.004376,1.545,0,24,0,23,0,0.853395,0.070708,0.782687,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999963,,,,,,,,,,,,,,,,,,,,,,,10.12638829574,40.71964385104,8.258737,7.882022,0.0744,0.176952
4,HD 4602,9.04,G0V," ",5975,80,40,3.9,0.45,0.2,-0.08,0.04,0.04," ",12.18082,59.60553,Gaia DR3 426750737973815936,12.18070948931,59.60504739574,0.0,0.0,152.0,1636148068921376768,426750737973815936,367251239,0.0076,0.0093,11.1917,0.0123,906.6655,109.045,-11.69,0.01,-108.416,0.012,-0.3024,0.0361,-0.06,-0.084,-0.0285,-0.102,0.0274,-0.0201,0.1406,-0.4129,557,557,549,8,-3.7907,933.25,0.073,7.8373,31,false,1.58,,,,,,,,63,28,0.018882,71,0.01131,17.71,0,0,0.887,1,598,5228340.19584,630.666,8290.19,8.891458,0.002758,66,2935220.0,546.768,5368.31,9.169439,0.002797,68,3323780.0,707.503,4697.89,8.443816,0.003786,1.197,0,9,0,0,0,0.725623,0.277982,0.447641,-39.74,0.18,1,16,7,13,181.89,1.2384,0.044028,903.319,1.64,6000.0,4.0,-0.25,444,,,,8.264215,0.004499,7,,NOT_AVAILABLE,0.0,0.0,1.0E-6,5949.3,5948.5,5950.4,4.2099,4.2085,4.2113,-0.3884,-0.3926,-0.3835,89.0675,88.9692,89.1647,4.0E-4,0.0,0.001,3.0E-4,0.0,8.0E-4,2.0E-4,0.0,5.0E-4,MARCS,12.18081217388,59.60552924323,0.162902,0.198057,-0.4033,1.748997
5,BD+59 140,10.37,G2V," ",6060,30,40,4.1,0.2,0.25,0.08,0.02,0.04," ",13.62071,60.64359,Gaia DR3 426537329642358784,13.62100048765,60.6434281688,0.0,0.0,149.0,1636148068921376768,426537329642358784,1458410386,0.0176,0.0202,4.3478,0.0284,153.1599,50.204,33.226,0.023,-37.637,0.026,-0.2571,0.0669,-0.1431,-0.0336,-0.0981,-0.0327,-0.0701,-0.1036,0.1299,-0.2631,522,522,516,6,24.7036,4326.7,0.265,112.02,31,false,1.561,,,,,,,,60,28,0.038481,72,0.01726,37.91,0,0,1.864,0,530,1577381.28344,241.501,6531.57,10.192525,0.00276,61,853887.0,184.012,4640.39,10.510041,0.0028,60,1040510.0,131.581,7907.74,9.704781,0.003782,1.201,0,43,0,37,0,0.805261,0.317516,0.487744,8.74,0.24,1,19,6,14,97.113,8.1156E-4,0.397335,902.743,2.85,6250.0,4.0,-0.25,444,5.862,3.2518,13,9.510466,0.006699,13,,NOT_AVAILABLE,0.0,0.0,0.99968,5838.4,5809.5,5890.0,3.8657,3.8441,3.9076,-0.5598,-0.5879,-0.49,234.8449,227.2205,239.32,0.087,0.0699,0.1147,0.0734,0.0588,0.0968,0.0396,0.0317,0.0522,PHOENIX,13.62069926958,60.64359544345,0.365092,0.417443,-0.2573,0.776046
6,TYC 4497-874-1,10.92,G3V,*,7000,0,0,3.0,0.2,0.0,0.04,0.02,0.04," ",13.62312,77.7844,Gaia DR3 563440202466251392,13.62346350143,77.78433839513,0.0,0.0,109.0,1636148068921376768,563440202466251392,633699462,0.0099,0.0087,2.5527,0.0115,221.0553,22.145,15.939,0.011,-15.375,0.012,-0.1036,0.4295,-0.3407,0.146,-0.0875,0.0222,0.0104,-0.186,0.3124,-0.1513,373,373,370,3,-3.4458,660.97,0.062,5.8095,31,true,1.612,,,,,,,,42,25,0.017314,51,0.02133,96.71,0,0,0.874,0,422,904235.78569,137.465,6577.96,10.796662,0.00276,49,539070.0,282.661,1907.12,11.00943,0.002848,49,532916.0,349.097,1526.56,10.431249,0.003846,1.186,0,21,0,22,0,0.578181,0.212768,0.365414,-5.73,1.88,1,20,15,17,62.91,1.4809,0.049593,903.803,24.55,7250.0,4.0,0.0,555,,,,10.287803,0.007923,5,,NOT_AVAILABLE,0.0,0.0,0.999697,7596.8,7588.7,7605.3,4.1648,4.1604,4.1691,-0.0828,-0.0895,-0.0752,396.0201,393.9562,398.1342,0.5684,0.5648,0.5722,0.5087,0.5054,0.5121,0.2722,0.2704,0.2741,A,13.62312871039,77.78440672623,0.173697,0.185112,-0.1576,0.342999
8,TYC 4017-1351-1,11.22,G0V," ",5810,55,95,4.6,0.2,0.4,0.06,0.04,0.08," ",15.14566,61.01408,Gaia DR3 426606908109580288,15.14571397344,61.01409702896,0.0,0.0,166.0,1636148068921376768,426606908109580288,1405576794,0.0092,0.0103,5.9233,0.0138,430.5335,7.605,7.135,0.012,2.633,0.015,-0.0564,-0.0928,-0.27,-0.1642,-0.1255,-0.1633,-0.1107,0.0318,0.1153,-0.2396,498,498,490,8,-0.2614,1217.2,0.099,15.69,31,false,1.555,,,,,,,,57,28,0.022185,70,0.002107,82.31,0,0,0.991,1,540,803009.47915,156.668,5125.56,10.925565,0.002763,62,430258.0,207.414,2074.4,11.254219,0.002839,60,533330.0,185.951,2868.11,10.430407,0.003798,1.2,0,62,0,60,0,0.823812,0.328654,0.495158,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999389,5668.9,5665.9,5672.0,4.379,4.3771,4.381,-0.1785,-0.1818,-0.1755,166.6787,166.2925,167.1255,0.0202,0.0181,0.0224,0.0169,0.0151,0.0188,0.0091,0.0081,0.0101,MARCS,15.14564853734,61.01408532866,0.199388,0.24781,-0.221,0.112357
9,BD+60 167,10.34,G0V," ",5810,60,55,4.1,0.3,0.25,0.06,0.06,0.06," ",17.06033,61.32857,Gaia DR3 522527718405805312,17.06083550088,61.32853445382,0.0,0.0,155.0,1636148068921376768,522527718405805312,1200248530,0.0089,0.0109,5.6474,0.0148,382.7655,55.528,54.735,0.012,-9.35,0.016,-0.2335,0.1018,-0.2433,0.0023,-0.1043,-0.0065,-0.1256,0.0625,-0.0366,-0.3642,478,478,468,10,-1.6267,1026.5,0.09,10.972,31,false,1.556,,,,,,,,54,26,0.023936,65,0.01473,44.65,0,0,0.946,0,519,1478950.51653,231.566,6386.74,10.262483,0.002761,57,794844.0,222.088,3578.97,10.587837,0.002807,56,979006.0,205.407,4766.18,9.770931,0.003786,1.199,0,0,0,0,0,0.816906,0.325355,0.491551,2.49,0.25,1,20,8,15,101.69,0.8119,0.117812,990.623,2.95,5750.0,4.5,-0.25,101,,,,9.578798,0.009756,7,,NOT_AVAILABLE,0.0,0.0,0.999488,5699.7,5685.4,5745.9,4.1122,4.106,4.1306,-0.1265,-0.1396,-0.0836,175.9701,175.4494,176.5344,0.0313,0.0223,0.0607,0.0262,0.0187,0.0509,0.0141,0.01,0.0273,MARCS,17.06032847121,61.32857600717,0.195263,0.262218,-0.3579,0.882444
10,Kiev 10 24,12.55,G0V," ",6000,80,50,3.75,0.5,0.3,0.12,0.08,0.06," ",19.52696,3.30061,Gaia DR3 2562677969001238912,19.52714958962,3.30059578588,0.0,0.0,61.0,1636148068921376768,2562677969001238912,302647409,0.0166,0.0123,2.4096,0.0178,135.6242,41.395,40.916,0.025,-6.277,0.018,0.4752,-0.0713,-0.2204,0.2842,-0.2419,0.3066,0.2403,-0.1612,-0.0,0.446,315,315,315,0,1.7768,558.01,0.078,7.4735,31,true,1.567,,,,,,,,37,15,0.037676,46,0.02595,94.48,0,0,1.071,0,380,204814.24549,58.7017,3489.07,12.408966,0.002773,42,112336.0,57.9209,1939.47,12.712249,0.002846,42,131788.0,42.3133,3114.57,11.948206,0.003795,1.192,0,0,0,0,0,0.764043,0.303283,0.46076,5.29,1.26,1,20,3,12,24.582,0.53828,0.453189,870.029,12.82,6000.0,4.5,0.0,222,,,,11.744695,0.014478,17,24.44699,NOT_AVAILABLE,0.0,0.0,0.999751,5943.7,5934.8,5953.3,4.3377,4.3329,4.3425,-0.4376,-0.446,-0.4291,412.826,409.6614,415.988,0.0423,0.0376,0.0469,0.0358,0.0318,0.0397,0.0193,0.0171,0.0214,PHOENIX,19.52696743864,3.30062368583,0.407757,0.279518,0.4218,0.683309
11,BD+02 189,10.29,G1V," ",5780,60,45,4.35,0.25,0.25,-0.12,0.06,0.06," ",19.59894,3.13267,Gaia DR3 2562658658828277760,19.59926233092,3.13247496625,0.0,0.0,68.0,1636148068921376768,2562658658828277760,306970092,0.0524,0.0333,6.6271,0.0509,130.1901,92.336,71.5,0.078,-58.427,0.047,0.4524,-0.0309,-0.3545,0.297,-0.0033,0.3048,0.4138,0.0534,0.1483,0.4363,300,300,295,5,27.9908,3759.6,0.324,132.33,31,true,1.553,,,,,,,,34,13,0.114007,44,0.07161,72.08,0,0,2.363,0,342,1688524.41219,266.352,6339.45,10.118599,0.002761,40,902261.0,316.948,2846.72,10.450212,0.002816,42,1131400.0,243.736,4641.9,9.613859,0.003787,1.204,0,0,0,0,0,0.836352,0.331613,0.50474,-10.58,0.27,1,22,3,15,117.74,1.9812,0.006238,869.778,4.14,5750.0,4.5,-0.25,222,5.0663,3.2248,17,9.415799,0.007764,18,,NOT_AVAILABLE,0.0,0.0,0.998258,5874.2,5866.3,5896.4,4.1818,4.1708,4.1993,-0.3923,-0.3986,-0.3813,147.2112,144.5581,149.0598,0.1472,0.1422,0.1572,0.1237,0.1194,0.1321,0.0665,0.0642,0.0711,PHOENIX,19.59894408002,3.13273464063,1.262403,0.741171,0.412,1.354792
12,TYC 23-21-1,10.15,G2.5V," ",5710,65,60,4.15,0.25,0.3,0.12,0.08,0.06," ",19.90629,3.28537,Gaia DR3 2562666252330495744,19.90640213904,3.28521296013,0.0,0.0,56.0,1636148068921376768,2562666252330495744,1453214732,0.0222,0.0173,3.88,0.0276,140.3951,41.97,25.63,0.034,-33.235,0.026,0.5986,0.2481,0.1208,0.3944,-0.0612,0.3879,0.3374,-0.3238,0.0525,0.5937,353,353,352,1,7.777,1305.2,0.148,27.456,31,true,1.547,,,,,,,,40,15,0.05449,50,0.0162,102.2,0,0,1.308,0,407,1845416.21665,349.561,5279.24,10.022131,0.002763,44,974510.0,289.359,3367.82,10.366576,0.002809,45,1248520.0,195.875,6374.04,9.506909,0.003783,1.205,0,22,0,21,0,0.859667,0.344445,0.515222,-18.03,0.3,1,15,1,10,101.95,2.7555,0.001319,869.778,2.9,5500.0,4.0,0.0,444,6.1689,3.783,10,9.307651,0.006004,11,,NOT_AVAILABLE,0.0,0.0,0.998613,5873.7,5869.4,5884.8,3.898,3.89,3.9179,0.2669,0.2614,0.2756,252.6458,245.6046,256.523,0.2224,0.2195,0.2303,0.1864,0.1839,0.193,0.0993,0.0979,0.1028,MARCS,19.9062880408,3.28536067179,0.539063,0.41686,0.5724,0.6943
