recno,Sample,Object,OName,RAJ2000,DEJ2000,ObsDate,JD,TexpUVB,TexpVIS,TexpNIR,Lupus,Notes,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff,b_Teff_x,B_Teff_xa,logg,b_logg_x,B_logg_xa,[Fe/H],b_[Fe/H]_x,B_[Fe/H]_xa,Dist,b_Dist_x,B_Dist_xa,A0,b_A0_x,B_A0_xa,AG,b_AG_x,B_AG_xa,E(BP-RP),b_E(BP-RP)_x,B_E(BP-RP)_xa,Lib,RAJ2000_x,DEJ2000_x,e_RAJ2000,e_DEJ2000,RADEcorJ2000,angDist
1," ",Sz65,"         ",234.86574999999996,-34.771499999999996,2457177.0,2457177.017838,"2x150 ","2x100 ","2x150 ","I  ",,Gaia DR3 6013399894569703040,234.86564375584,-34.77154583887,0.0,0.0,124.0,1636148068921376768,6013399894569703040,1788335697,0.0185,0.0151,6.5159,0.0253,257.549,25.769,-13.218,0.026,-22.121,0.022,-0.5011,0.0411,0.0355,-0.2436,-0.1115,-0.0984,0.424,-0.2966,-0.0512,-0.2352,343,343,338,5,10.1594,1492.0,0.146,33.41,31,true,1.342,,,,,,,,39,15,0.038604,42,0.02876,31.39,0,0,1.417,0,369,377389.69495,1865.38,202.312,11.745392,0.006033,40,112152.0,1964.92,57.0773,12.714021,0.019226,40,398328.0,5165.22,77.1173,10.747294,0.014577,1.353,0,0,0,0,0,1.966726,0.968629,0.998097,-3.19,17.44,1,11,6,9,43.428,24.215,0.0,798.131,17.53,4000.0,3.0,0.0,333,,,,10.356866,0.042844,6,,VARIABLE,0.0,0.0,0.999896,5455.2,5438.3,5499.2,4.1019,4.1003,4.1035,-0.5711,-0.6191,-0.5534,151.6886,151.0778,152.2935,2.7182,2.7052,2.7477,2.0559,2.045,2.0813,1.1306,1.1239,1.1462,MARCS,234.86571527467,-34.77144752442,0.41886,0.349369,-0.2252,0.354882
2," ",AKC2006-18,"         ",235.4200833333333,-33.75527777777777,2457132.0,2457132.269751,"4x900 ","4x850 ","4x960 ","I  ",,Gaia DR3 6014969516135416192,235.41993537749,-33.75533346091,0.0,0.0,116.0,1636148068921376768,6014969516135416192,1185892273,0.2217,0.1865,6.5848,0.2692,24.4601,29.007,-18.837,0.328,-22.058,0.266,-0.2275,-0.1103,0.1331,-0.2714,-0.3404,-0.2296,0.4728,-0.1249,0.0204,-0.3394,240,0,238,2,1.0305,297.1,0.796,2.5602,31,false,1.177,,,,,,,,29,15,0.495424,32,0.1629,99.22,0,0,1.047,0,263,638.14134,7.50636,85.0135,18.675076,0.013065,19,55.5448,8.45484,6.56959,20.976933,0.16529,25,1048.26,36.4649,28.7472,17.19672,0.037957,1.73,0,0,0,0,0,3.780212,2.301857,1.478355,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,0.999997,2745.3,2735.9,2761.8,4.743,4.6695,4.7844,0.5803,0.5581,0.775,180.6126,171.4662,205.7022,0.0829,0.0206,0.188,0.046,0.0114,0.1051,0.0403,0.01,0.0918,MARCS,235.42003607414,-33.75523542608,5.225797,4.167233,-0.3263,0.486105
3," ",SSTc2dJ154508.9-341734,"         ",236.28699999999998,-34.29269444444444,2457188.0,2457188.149771,"2x900 ","2x850 ","2x960 ","I  ",,Gaia DR3 6014696875913435520,236.28689434874,-34.29272501767,0.0,0.0,115.0,1636148068921376768,6014696875913435520,858524099,0.1079,0.0777,6.4595,0.1448,44.6026,26.911,-15.208,0.17,-22.202,0.103,-0.4021,-0.1111,0.1749,-0.0806,0.0833,0.1003,0.5903,-0.3474,-0.0317,0.0195,590,0,589,1,4.6141,1109.2,0.743,12.926,31,false,1.157,,,,,,,,67,17,0.238753,75,0.03824,33.86,0,0,1.137,0,641,1800.9215,20.4324,88.1405,17.54863,0.012623,70,142.423,9.30506,15.306,19.954592,0.07099,73,3364.65,108.306,31.0661,15.930546,0.035153,1.947,0,2,0,1,0,4.024046,2.405962,1.618084,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,236.2869761587,-34.29262634427,2.697981,1.598911,0.0178,0.332947
4," ",Sz68,"         ",236.30362499999995,-34.291888888888884,2457160.0,2457160.210844,"2x100 ","2x60  ","2x50  ","I  ",,Gaia DR3 6014696841553696768,236.3035392258,-34.29194246873,0.0,0.0,119.0,1636148068921376768,6014696841553696768,1425484632,0.0404,0.0305,6.5157,0.0548,118.8331,26.024,-14.243,0.064,-21.78,0.041,-0.4385,-0.0563,0.1352,-0.1613,0.0509,0.0333,0.626,-0.4103,0.0094,-0.069,606,606,605,1,65.5838,12520.0,0.427,307.97,31,true,1.4,,,,,,,,68,17,0.090499,79,0.01978,86.77,0,0,3.402,0,673,2334751.41893,2391.54,976.253,9.766766,0.002971,74,842290.0,2629.05,320.378,10.524888,0.00439,74,2175210.0,5337.71,407.516,8.904145,0.004624,1.292,4,9,0,12,0,1.620743,0.758122,0.86262,-7.49,1.99,1,23,11,7,179.38,20.297,0.0,422.098,31.48,4250.0,2.5,-1.5,111,,,,8.516846,0.01175,8,,VARIABLE,0.0,0.0,0.999938,5254.2,5227.4,5315.8,3.5312,3.474,3.5966,-0.3212,-0.3708,-0.2765,151.7666,142.9237,160.4979,1.5981,1.5847,1.6355,1.231,1.2199,1.2611,0.6625,0.6565,0.6783,PHOENIX,236.30361584887,-34.29184566759,1.019621,0.633736,-0.0672,0.319825
5," ",SSTc2dJ154518.5-342125,"         ",236.3272083333333,-34.35688888888888,2457198.0,2457198.97885,"2x900 ","2x850 ","2x960 ","I  ",,Gaia DR3 6014693405579853184,236.3270685841,-34.35692022456,0.0,0.0,119.0,1636148068921376768,6014693405579853184,615049339,0.0708,0.0532,6.535,0.0931,70.2178,27.065,-15.147,0.11,-22.429,0.071,-0.4613,-0.0339,0.0463,-0.2103,0.1131,-0.0192,0.6598,-0.3941,0.0299,-0.1271,548,0,546,2,8.006,1950.1,0.575,31.9,31,false,1.156,,,,,,,,62,16,0.155456,69,0.03468,45.32,0,0,1.252,0,601,6383.09129,34.6181,184.386,16.17479,0.006501,65,403.245,11.9247,33.816,18.82462,0.032228,66,10828.5,151.388,71.5285,14.66147,0.015642,1.76,0,2,0,1,0,4.163149,2.64983,1.513319,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,0.999998,,,,,,,,,,,,,,,,,,,,,,,236.32715013165,-34.35682053886,1.756997,1.094116,-0.1224,0.430374
6," ",Sz81A (SW),"         ",238.9592083333333,-38.026111111111106,2457253.0,2457253.07287,"2x300 ","2x250 ","2x300 ","II ",,Gaia DR3 6010133559067032832,238.95944137374,-38.02612892336,0.0,0.0,116.0,1636148068921376768,6010133559067032832,575185762,0.0199,0.0149,6.3199,0.0236,268.0835,25.515,-11.426,0.028,-22.813,0.022,-0.3789,-0.0237,0.2467,-0.3696,-0.0795,-0.2938,0.6979,-0.2423,-0.2207,-0.207,389,9,389,0,8.316,656.4,0.097,6.0682,31,false,1.25,,,,,,,,45,17,0.041691,48,0.01444,17.09,0,0,1.314,0,414,58828.81616,81.4307,722.44,13.763391,0.003139,46,10519.5,191.987,54.7927,15.283553,0.020011,45,90476.5,1629.09,55.5382,12.356556,0.019911,1.717,8,31,0,31,0,2.926997,1.520162,1.406836,-1.54,2.6,2,14,14,10,18.635,,,700.833,,3600.0,2.5,0.5,111,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999442,,,,,,,,,,,,,,,,,,,,,,,238.95950583922,-38.02602753089,0.449931,0.337923,-0.1862,0.663966
7," ",Sz81B (NE),"         ",238.95941666666664,-38.025611111111104,2457253.0,2457253.07287,"2x300 ","2x250 ","2x300 ","II ",,Gaia DR3 6010133559067032704,238.95966853418,-38.0256220277,0.0,0.0,116.0,1636148068921376768,6010133559067032704,944152900,0.068,0.0508,6.2827,0.0803,78.192,26.146,-11.658,0.101,-23.403,0.073,-0.3768,-0.0082,0.2527,-0.3602,-0.0695,-0.2838,0.6827,-0.2581,-0.1861,-0.1905,385,0,384,1,-1.5387,4210.8,0.568,121.3,95,false,,1.1606,0.0122,-0.077,0.106,0.001,-0.196,0.05,44,17,0.146017,48,0.01719,62.85,0,0,0.944,0,407,29049.00952,53.8714,539.229,14.529538,0.003413,0,,,,,,0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,238.95973430845,-38.02551801611,1.595747,1.135014,-0.1702,0.715338
8," ",Sz129,"         ",239.81866666666664,-41.952861111111105,2457199.0,2457199.059343,"2x100 ","2x50  ","2x100 ","IV ",,Gaia DR3 5995168724780802944,239.81856849332,-41.95296394138,0.0,0.0,109.0,1636148068921376768,5995168724780802944,1402484917,0.0141,0.0091,6.2449,0.0171,365.4988,25.474,-10.663,0.017,-23.136,0.013,-0.3491,-0.2936,0.0016,-0.1553,0.1157,-0.0938,0.4765,-0.2186,-0.0188,-0.1519,398,398,398,0,3.8571,715.15,0.081,8.9907,31,false,1.361,,,,,,,,45,17,0.024218,48,0.1568,10.8,0,0,1.14,0,412,213145.90953,1113.84,191.361,12.365674,0.006307,46,66686.5,1589.33,41.9588,13.278448,0.026026,46,220106.0,2565.45,85.7962,11.391315,0.013207,1.346,0,0,0,0,0,1.887134,0.912774,0.97436,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,0.99953,5869.9,5760.6,6010.0,4.1931,4.1807,4.2071,-2.6703,-3.8889,-2.0664,159.3366,158.5502,160.0843,3.0108,2.9332,3.0917,2.303,2.2399,2.3725,1.2939,1.2599,1.3299,MARCS,239.81863221451,-41.95286111616,0.274103,0.199567,-0.1433,0.454009
9," ",SSTc2dJ155925.2-423507,"         ",239.85516666666663,-42.58530555555555,2457200.0,2457200.014418,"2x900 ","2x850 ","2x960 ","IV ",,Gaia DR3 5994761080849322368,239.85503785447,-42.58527691781,0.0,0.0,103.0,1636148068921376768,5994761080849322368,577474344,0.057,0.0391,6.791,0.0681,99.7639,31.651,-17.205,0.075,-26.567,0.061,-0.1935,-0.2883,0.0722,-0.1823,-0.0013,-0.2229,0.5391,-0.1708,-0.0619,-0.2436,378,0,378,0,2.2815,501.58,0.243,3.5026,31,false,1.219,,,,,,,,43,19,0.110404,47,0.03161,109.6,0,0,1.084,0,401,4724.48352,10.4438,452.374,16.50148,0.003654,42,599.539,17.9662,33.3704,18.393997,0.032655,41,6694.43,25.9819,257.657,15.183611,0.00566,1.544,0,1,0,0,0,3.210386,1.892517,1.317869,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999981,,,,,,,,,,,,,,,,,,,,,,,239.85514171321,-42.58515884413,1.204163,0.952783,-0.2319,0.356652
10," ",RY Lup,"         ",239.86829166666664,-40.36424999999999,2457205.0,2457205.275027,"2x100 ","2x50  ","2x100 ","IV ",,Gaia DR3 5996151172781298304,239.86821301639,-40.36433478182,0.0,0.0,101.0,1636148068921376768,5996151172781298304,1494832467,0.0495,0.0312,6.5153,0.0604,107.826,24.788,-10.963,0.062,-22.232,0.045,-0.1946,-0.358,0.135,-0.0544,0.0852,-0.0664,0.4907,-0.1181,-0.1247,-0.0477,383,383,381,2,46.7811,8771.1,0.433,288.04,31,true,1.424,,,,,,,,43,18,0.086589,50,0.125,24.36,0,0,3.123,0,406,754437.22495,13897.0,54.2876,10.993309,0.020189,46,341757.0,21943.4,15.5745,11.504248,0.069768,46,710935.0,33807.8,21.0287,10.11832,0.051769,1.395,0,0,0,0,0,1.385927,0.510939,0.874989,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,0.99982,,,,,,,,,,,,,,,,,,,,,,,239.86827696279,-40.36423597116,0.987361,0.708262,-0.0437,0.373762
