# recno   M     Y      Z       Time           log(Teff)   log(L)  
  1       1.0   0.25   0.016   0.0            4.0         3.541   
  2       1.0   0.25   0.016   1137.0         4.093       3.544   
  3       1.0   0.25   0.016   2620.4         4.185       3.548   
  4       1.0   0.25   0.016   4426.8         4.278       3.552   
  5       1.0   0.25   0.016   6529.8         4.37        3.556   
  6       1.0   0.25   0.016   8901.4         4.463       3.559   
  7       1.0   0.25   0.016   11407.1        4.556       3.558   
  8       1.0   0.25   0.016   14109.4        4.648       3.553   
  9       1.0   0.25   0.016   16955.6        4.741       3.542   
  10      1.0   0.25   0.016   19897.0        4.832       3.52    
  11      1.0   0.25   0.016   22964.8        4.92        3.476   
  12      1.0   0.25   0.016   26018.3        4.996       3.395   
  13      1.0   0.25   0.016   28720.4        5.047       3.277   
  14      1.0   0.25   0.016   30681.0        5.066       3.139   
  15      1.0   0.25   0.016   32153.8        5.071       2.999   
  16      1.0   0.25   0.016   33222.4        5.064       2.858   
  17      1.0   0.25   0.016   34306.1        5.052       2.718   
  18      1.0   0.25   0.016   36136.1        5.038       2.579   
  19      1.0   0.25   0.016   42786.9        5.024       2.44    
  20      1.0   0.25   0.016   64169.4        5.014       2.3     
  21      1.0   0.25   0.016   85597.2        5.001       2.16    
  22      1.0   0.25   0.016   109106.0       4.985       2.021   
  23      1.0   0.25   0.016   135830.6       4.967       1.883   
  24      1.0   0.25   0.016   172390.6       4.947       1.745   
  25      1.0   0.25   0.016   225690.5       4.928       1.607   
  26      1.0   0.25   0.016   303117.3       4.907       1.47    
  27      1.0   0.25   0.016   406795.5       4.886       1.333   
  28      1.0   0.25   0.016   526837.2       4.864       1.196   
  29      1.0   0.25   0.016   682812.5       4.841       1.059   
  30      1.0   0.25   0.016   870042.1       4.818       0.923   
  31      1.0   0.25   0.016   1093980.4      4.793       0.787   
  32      1.0   0.25   0.016   1346514.3      4.767       0.652   
  33      1.0   0.25   0.016   1693713.3      4.741       0.517   
  34      1.0   0.25   0.016   2040912.2      4.714       0.381   
  35      1.0   0.25   0.016   2503246.6      4.687       0.247   
  36      1.0   0.25   0.016   3067785.3      4.659       0.112   
  37      1.0   0.25   0.016   3632324.0      4.631       -0.022  
  38      1.0   0.25   0.016   4492096.0      4.602       -0.156  
  39      1.0   0.25   0.016   5625840.4      4.573       -0.29   
  40      1.0   0.25   0.016   7114025.5      4.544       -0.424  
  41      1.0   0.25   0.016   8878766.6      4.514       -0.557  
  42      1.0   0.25   0.016   1.12127192E7   4.484       -0.691  
  43      1.0   0.25   0.016   1.4844281E7    4.454       -0.824  
  44      1.0   0.25   0.016   2.03307722E7   4.425       -0.957  
  45      1.0   0.25   0.016   2.85602453E7   4.394       -1.091  
  46      1.5   0.25   0.016   0.0            4.0         3.743   
  47      1.5   0.25   0.016   196.7          4.098       3.743   
  48      1.5   0.25   0.016   461.7          4.195       3.743   
  49      1.5   0.25   0.016   844.4          4.293       3.742   
  50      1.5   0.25   0.016   1349.1         4.391       3.741   
  51      1.5   0.25   0.016   1980.7         4.489       3.74    
  52      1.5   0.25   0.016   2763.2         4.586       3.736   
  53      1.5   0.25   0.016   3703.9         4.684       3.73    
  54      1.5   0.25   0.016   4740.4         4.782       3.72    
  55      1.5   0.25   0.016   5879.9         4.878       3.699   
  56      1.5   0.25   0.016   7123.5         4.973       3.664   
  57      1.5   0.25   0.016   8424.7         5.06        3.595   
  58      1.5   0.25   0.016   9624.5         5.123       3.481   
  59      1.5   0.25   0.016   10493.9        5.151       3.339   
  60      1.5   0.25   0.016   10979.4        5.153       3.19    
  61      1.5   0.25   0.016   11241.0        5.145       3.042   
  62      1.5   0.25   0.016   11425.8        5.13        2.895   
  63      1.5   0.25   0.016   11610.6        5.115       2.748   
  64      1.5   0.25   0.016   11830.3        5.094       2.603   
  65      1.5   0.25   0.016   12141.3        5.071       2.458   
  66      1.5   0.25   0.016   15404.6        5.05        2.313   
  67      1.5   0.25   0.016   31528.5        5.032       2.167   
  68      1.5   0.25   0.016   50975.8        5.013       2.021   
  69      1.5   0.25   0.016   76499.7        4.992       1.876   
  70      1.5   0.25   0.016   112372.9       4.971       1.73    
  71      1.5   0.25   0.016   162522.5       4.948       1.586   
  72      1.5   0.25   0.016   232037.4       4.925       1.441   
  73      1.5   0.25   0.016   325845.1       4.9         1.297   
  74      1.5   0.25   0.016   447258.1       4.876       1.153   
  75      1.5   0.25   0.016   605885.2       4.851       1.01    
  76      1.5   0.25   0.016   797141.1       4.824       0.866   
  77      1.5   0.25   0.016   1029226.9      4.797       0.723   
  78      1.5   0.25   0.016   1318415.5      4.769       0.581   
  79      1.5   0.25   0.016   1686085.9      4.74        0.439   
  80      1.5   0.25   0.016   2053756.3      4.71        0.297   
