# recno   M      Y      Z       Time           log(Teff)   log(L)  
  1       1.0    0.25   0.016   0.0            4.0         3.525   
  2       1.0    0.25   0.016   30.9           4.107       3.512   
  3       1.0    0.25   0.016   76.0           4.213       3.495   
  4       1.0    0.25   0.016   143.3          4.318       3.468   
  5       1.0    0.25   0.016   244.9          4.422       3.425   
  6       1.0    0.25   0.016   639.6          4.316       3.447   
  7       1.0    0.25   0.016   742.4          4.21        3.476   
  8       1.0    0.25   0.016   877.0          4.105       3.499   
  9       1.0    0.25   0.016   1191.3         4.211       3.493   
  10      1.0    0.25   0.016   1358.3         4.317       3.472   
  11      1.0    0.25   0.016   1571.6         4.422       3.44    
  12      1.0    0.25   0.016   1917.0         4.524       3.391   
  13      1.0    0.25   0.016   3664.6         4.622       3.325   
  14      1.0    0.25   0.016   6229.1         4.714       3.242   
  15      1.0    0.25   0.016   11186.6        4.795       3.135   
  16      1.0    0.25   0.016   26162.7        4.811       3.296   
  17      1.0    0.25   0.016   41399.5        4.901       3.384   
  18      1.0    0.25   0.016   48667.8        4.994       3.304   
  19      1.0    0.25   0.016   53680.0        5.044       3.16    
  20      1.0    0.25   0.016   57319.5        5.058       2.998   
  21      1.0    0.25   0.016   60022.7        5.055       2.836   
  22      1.0    0.25   0.016   63126.2        5.045       2.674   
  23      1.0    0.25   0.016   70885.2        5.034       2.512   
  24      1.0    0.25   0.016   83456.3        5.021       2.351   
  25      1.0    0.25   0.016   100917.4       5.004       2.19    
  26      1.0    0.25   0.016   123893.1       4.984       2.03    
  27      1.0    0.25   0.016   156369.0       4.963       1.87    
  28      1.0    0.25   0.016   205739.4       4.942       1.711   
  29      1.0    0.25   0.016   273240.8       4.918       1.552   
  30      1.0    0.25   0.016   371703.7       4.894       1.394   
  31      1.0    0.25   0.016   514045.9       4.87        1.235   
  32      1.0    0.25   0.016   693994.4       4.843       1.077   
  33      1.0    0.25   0.016   917881.0       4.816       0.92    
  34      1.0    0.25   0.016   1179026.5      4.787       0.763   
  35      1.0    0.25   0.016   1483518.9      4.758       0.607   
  36      1.0    0.25   0.016   1904158.1      4.728       0.451   
  37      1.0    0.25   0.016   2422390.9      4.696       0.296   
  38      1.0    0.25   0.016   2940623.7      4.664       0.14    
  39      1.0    0.25   0.016   3739476.4      4.631       -0.015  
  40      1.0    0.25   0.016   4652079.9      4.599       -0.17   
  41      1.0    0.25   0.016   5870408.9      4.565       -0.324  
  42      1.0    0.25   0.016   7886541.7      4.531       -0.478  
  43      1.0    0.25   0.016   1.04170321E7   4.497       -0.632  
  44      1.0    0.25   0.016   1.39527077E7   4.463       -0.787  
  45      1.0    0.25   0.016   1.94842988E7   4.428       -0.941  
  46      1.5    0.25   0.016   0.0            4.0         3.612   
  47      1.5    0.25   0.016   144.5          4.106       3.604   
  48      1.5    0.25   0.016   354.8          4.212       3.593   
  49      1.5    0.25   0.016   679.6          4.318       3.576   
  50      1.5    0.25   0.016   1150.7         4.423       3.553   
  51      1.5    0.25   0.016   1876.8         4.527       3.519   
  52      1.5    0.25   0.016   3025.8         4.628       3.472   
  53      1.5    0.25   0.016   4837.8         4.726       3.408   
  54      1.5    0.25   0.016   17224.3        4.737       3.569   
  55      1.5    0.25   0.016   23267.4        4.838       3.618   
  56      1.5    0.25   0.016   26498.9        4.944       3.602   
  57      1.5    0.25   0.016   29163.1        5.042       3.539   
  58      1.5    0.25   0.016   31236.5        5.106       3.411   
  59      1.5    0.25   0.016   32743.6        5.132       3.254   
  60      1.5    0.25   0.016   33806.3        5.136       3.093   
  61      1.5    0.25   0.016   34577.9        5.124       2.932   
  62      1.5    0.25   0.016   35485.0        5.109       2.773   
  63      1.5    0.25   0.016   38817.5        5.093       2.613   
  64      1.5    0.25   0.016   45517.5        5.076       2.453   
  65      1.5    0.25   0.016   53818.4        5.056       2.295   
  66      1.5    0.25   0.016   66639.3        5.035       2.136   
  67      1.5    0.25   0.016   83922.1        5.012       1.979   
  68      1.5    0.25   0.016   110374.7       4.988       1.821   
  69      1.5    0.25   0.016   154685.4       4.964       1.664   
  70      1.5    0.25   0.016   218535.2       4.938       1.507   
  71      1.5    0.25   0.016   298372.0       4.912       1.35    
  72      1.5    0.25   0.016   418053.0       4.886       1.194   
  73      1.5    0.25   0.016   572912.6       4.857       1.038   
  74      1.5    0.25   0.016   766766.4       4.829       0.882   
