# recno M   Y    Z     Time         log(Teff) log(L)
  1     1.5 0.25 0.008 0.0          4.0       3.88  
  2     1.5 0.25 0.008 17.7         4.092     3.876 
  3     1.5 0.25 0.008 44.2         4.183     3.871 
  4     1.5 0.25 0.008 83.5         4.275     3.865 
  5     1.5 0.25 0.008 144.4        4.367     3.855 
  6     1.5 0.25 0.008 256.3        4.458     3.842 
  7     1.5 0.25 0.008 462.6        4.549     3.825 
  8     1.5 0.25 0.008 759.1        4.639     3.801 
  9     1.5 0.25 0.008 1192.7       4.728     3.768 
  10    1.5 0.25 0.008 1920.4       4.815     3.723 
  11    1.5 0.25 0.008 3113.4       4.897     3.661 
  12    1.5 0.25 0.008 4951.5       4.971     3.579 
  13    1.5 0.25 0.008 7493.8       5.032     3.474 
  14    1.5 0.25 0.008 10514.7      5.074     3.35  
  15    1.5 0.25 0.008 13459.8      5.102     3.217 
  16    1.5 0.25 0.008 16031.6      5.113     3.078 
  17    1.5 0.25 0.008 18539.5      5.117     2.939 
  18    1.5 0.25 0.008 21331.4      5.115     2.799 
  19    1.5 0.25 0.008 24548.5      5.11      2.66  
  20    1.5 0.25 0.008 29219.3      5.1       2.521 
  21    1.5 0.25 0.008 35963.7      5.087     2.383 
  22    1.5 0.25 0.008 45333.4      5.071     2.246 
  23    1.5 0.25 0.008 56619.7      5.051     2.109 
  24    1.5 0.25 0.008 70472.5      5.03      1.973 
  25    1.5 0.25 0.008 89790.2      5.009     1.838 
  26    1.5 0.25 0.008 116686.0     4.987     1.702 
  27    1.5 0.25 0.008 161415.0     4.964     1.567 
  28    1.5 0.25 0.008 219508.3     4.941     1.432 
  29    1.5 0.25 0.008 296065.3     4.917     1.297 
  30    1.5 0.25 0.008 395438.0     4.893     1.162 
  31    1.5 0.25 0.008 520758.9     4.868     1.028 
  32    1.5 0.25 0.008 675801.9     4.843     0.894 
  33    1.5 0.25 0.008 862986.3     4.817     0.76  
  34    1.5 0.25 0.008 1092802.3    4.79      0.626 
  35    1.5 0.25 0.008 1378477.9    4.763     0.493 
  36    1.5 0.25 0.008 1742760.2    4.735     0.36  
  37    1.5 0.25 0.008 2107042.4    4.707     0.227 
  38    1.5 0.25 0.008 2548029.9    4.678     0.095 
  39    1.5 0.25 0.008 3114143.6    4.65      -0.038
  40    1.5 0.25 0.008 3870769.2    4.62      -0.17 
  41    1.5 0.25 0.008 4627394.7    4.591     -0.302
  42    1.5 0.25 0.008 5890419.5    4.561     -0.434
  43    1.5 0.25 0.008 7397708.1    4.531     -0.566
  44    1.5 0.25 0.008 1.00871609E7 4.502     -0.698
  45    1.5 0.25 0.008 1.3808257E7  4.472     -0.83 
