# recno   PNG           Name              f_PNG   RAJ2000              DEJ2000                SpType1              r_SpType1   SpType2         r_SpType2   BR        rspect                     Com                                                                                                                                  SimbadName       recno   PNG           l_logg   logg   E_logg   e_logg   r_logg    TpTeff    l_logTeff   logTeff   E_logTeff   e_logTeff   r_logTeff   l_logL   logL    E_logL   e_logL   r_logL    Band   l_mag   mag     E_mag   e_mag   r_mag     Note      
  302     "171.3-25.8 " "Ba 1"            " "     58.40208333333332    19.49405555555555      [WO]?                "KS1990 "   " "             "       "   "       " KS1990                     " "                                                                                                                                  "PN G171.3-25.8" 302     "171.3-25.8 " " "      ""     ""       ""       "       " eff       " "         5.058     0.08        0.08        "SV2002 "   " "      2.126   0.025    0.025    "SV2002 " "b "   " "     18.7    ""      ""      "TS1994 " " "       
  297     "165.5-15.2 " "NGC 1514"        " "     62.320833333333326   30.77597222222222      "A0 + sdO"           AM2015b     " "             "       "   "JV2017 " MK2016                     " "                                                                                                                                  "PN G165.5-15.2" 297     "165.5-15.2 " " "      5.5    0.1      0.1      AM2015b   " "       " "         4.954     0.048       0.048       AM2015b     " "      3.4     0.2      0.2      AM2015b   "v "   " "     9.44    ""      ""      "TA1991 " " "       
  299     "167.4-09.1 " "K 3-66"          " "     69.15499999999999    33.65833333333333      O                    "WG2018 "   " "             "       "   "       " WG2018                     " "                                                                                                                                  "PN G167.4-09.1" 299     "167.4-09.1 " " "      ""     ""       ""       "       " z         " "         4.47      ""          ""          "P2003  "   " "      ""      ""       ""       "       " "v "   " "     15.36   ""      ""      "TS1994 " " "       
  296     "165.5-06.5 " "K 3-67"          " "     69.94958333333332    36.76183333333333      O(C)                 "SECGPN "   EL              "TS1987 "   "       " -                          "TS1987 report C IV+He II emission"                                                                                                  "PN G165.5-06.5" 296     "165.5-06.5 " " "      ""     ""       ""       "       " " "       " "         ""        ""          ""          "       "   " "      ""      ""       ""       "       " "b "   " "     17.9    ""      ""      "TA1991 " " "       
  300     "169.6+00.0 " "IC 2120"         " "     79.54291666666666    37.55761111111111      "G + ?"              "ZP1990 "   " "             "       "   bc-CSPN   -                          " "                                                                                                                                  "PN G169.6+00.0" 300     "169.6+00.0 " " "      ""     ""       ""       "       " " "       " "         4.623     ""          ""          "AG1985 "   " "      2.851   ""       ""       "AG1985 " "  "   " "     ""      ""      ""      "       " " "       
  298     "166.1+10.4 " "IC 2149"         " "     89.09958333333333    46.10480555555555      O(H)4f               "t.w.   "   " "             "       "   "       " -                          " "                                                                                                                                  "PN G166.1+10.4" 298     "166.1+10.4 " " "      3.6    ""       ""       "Gd2013 " eff       " "         4.623     ""          ""          "Gd2013 "   " "      3.014   0.023    0.023    "SV2002 " "v "   " "     11.47   ""      ""      "KJ1991 " " "       
  294     "161.2-14.8 " "IC 2003"         " "     59.09166666666666    33.875166666666665     "[WC 3]?"            "TA1993 "   "[WC 7-8]"      "SECGPN "   "       " SK1995                     " "                                                                                                                                  "PN G161.2-14.8" 294     "161.2-14.8 " " "      4.9    ""       ""       "ZK1993 " eff       " "         4.954     0.028       0.028       "SV2002 "   " "      3.445   0.109    0.109    "SV2002 " "v "   " "     15.0    ""      ""      "TA1991 " " "       
  293     "159.0-15.1 " "IC 351"          " "     56.88791666666666    35.04680555555555      O(H)f                "WM2015 "   " "             "       "   "       " WM2015                     " "                                                                                                                                  "PN G159.0-15.1" 293     "159.0-15.1 " " "      4.5    ""       ""       "ZK1993 " eff       " "         5.127     0.114       0.114       "SV2002 "   " "      3.066   0.218    0.218    "SV2002 " "v "   " "     15.6    ""      ""      "TA1991 " " "       
  289     "156.9-13.3 " "HaWe 5"          " "     56.360833333333325   37.814388888888885     DA                   "NS1995 "   " "             "       "   "       " NS1995                     " "                                                                                                                                  "PN G156.9-13.3" 289     "156.9-13.3 " " "      7.58   0.2      0.2      "N1999  " eff       " "         4.581     0.017       0.017       "N1999  "   " "      ""      ""       ""       "       " "v "   " "     17.5    0.4     0.4     "NS1995 " " "       
  286     "149.4-09.2 " "HDW 3"           " "     51.81416666666666    45.405694444444435     DAO                  "NS1995 "   " "             "       "   "       " GB2010                     " "                                                                                                                                  "PN G149.4-09.2" 286     "149.4-09.2 " " "      7.32   ""       ""       "GB2010 " eff       " "         5.097     ""          ""          GM2019b     " "      2.05    ""       ""       GM2019b   "v "   " "     17.2    0.4     0.4     "NS1995 " " "       
  287     "149.7-03.3 " "IsWe 1"          " "     57.274583333333325   50.0041111111111       "PG 1159 (A)"        "GT2000 "   " "             "       "   "       " NS1995                     " "                                                                                                                                  "PN G149.7-03.3" 287     "149.7-03.3 " " "      7.0    ""       ""       "FP2016 " " "       " "         5.0       ""          ""          "FP2016 "   " "      1.4     ""       ""       GM2019b   "v "   " "     16.56   ""      ""      "FP2016 " " "       
